idnotificacao,idalerta,iddestinatario,canal,data_envio,estado_envio,data_confirmacao,mensagem,erro_envio
31,5,3,email_sms,2026-05-08 01:04:00,enviada,,Alerta Laranja na área Zona Industrial. Nível máximo de água: 69.95%. Precipitação acumulada 6h: 51.12 mm. Precipitação prevista 1h: 0.00 mm. Medidas recomendadas associadas ao nível Laranja.,
32,5,4,email_sms,2026-05-08 01:09:00,enviada,,Alerta Laranja na área Zona Industrial. Nível máximo de água: 69.95%. Precipitação acumulada 6h: 51.12 mm. Precipitação prevista 1h: 0.00 mm. Medidas recomendadas associadas ao nível Laranja.,
33,5,5,email_sms,2026-05-08 01:01:00,confirmada,2026-05-08 01:28:00,Alerta Laranja na área Zona Industrial. Nível máximo de água: 69.95%. Precipitação acumulada 6h: 51.12 mm. Precipitação prevista 1h: 0.00 mm. Medidas recomendadas associadas ao nível Laranja.,
34,5,6,email_sms,2026-05-08 01:09:00,enviada,,Alerta Laranja na área Zona Industrial. Nível máximo de água: 69.95%. Precipitação acumulada 6h: 51.12 mm. Precipitação prevista 1h: 0.00 mm. Medidas recomendadas associadas ao nível Laranja.,
35,5,7,email_sms,2026-05-08 01:01:00,confirmada,2026-05-08 01:08:00,Alerta Laranja na área Zona Industrial. Nível máximo de água: 69.95%. Precipitação acumulada 6h: 51.12 mm. Precipitação prevista 1h: 0.00 mm. Medidas recomendadas associadas ao nível Laranja.,
36,6,1,email,2026-05-08 02:08:00,confirmada,2026-05-08 02:16:00,Alerta Amarelo na área Zona Ribeirinha. Nível máximo de água: 45.65%. Precipitação acumulada 6h: 6.47 mm. Precipitação prevista 1h: 11.75 mm. Medidas recomendadas associadas ao nível Amarelo.,
37,6,2,email,2026-05-08 02:07:00,confirmada,2026-05-08 02:09:00,Alerta Amarelo na área Zona Ribeirinha. Nível máximo de água: 45.65%. Precipitação acumulada 6h: 6.47 mm. Precipitação prevista 1h: 11.75 mm. Medidas recomendadas associadas ao nível Amarelo.,
38,6,3,email,2026-05-08 02:08:00,confirmada,2026-05-08 02:29:00,Alerta Amarelo na área Zona Ribeirinha. Nível máximo de água: 45.65%. Precipitação acumulada 6h: 6.47 mm. Precipitação prevista 1h: 11.75 mm. Medidas recomendadas associadas ao nível Amarelo.,
39,6,4,email,2026-05-08 02:01:00,falhada,,Alerta Amarelo na área Zona Ribeirinha. Nível máximo de água: 45.65%. Precipitação acumulada 6h: 6.47 mm. Precipitação prevista 1h: 11.75 mm. Medidas recomendadas associadas ao nível Amarelo.,Erro simulado no envio.
40,6,6,email,2026-05-08 02:09:00,confirmada,2026-05-08 02:38:00,Alerta Amarelo na área Zona Ribeirinha. Nível máximo de água: 45.65%. Precipitação acumulada 6h: 6.47 mm. Precipitação prevista 1h: 11.75 mm. Medidas recomendadas associadas ao nível Amarelo.,
41,7,1,email_sms,2026-05-08 02:02:00,enviada,,Alerta Laranja na área Centro Urbano. Nível máximo de água: 73.67%. Precipitação acumulada 6h: 52.09 mm. Precipitação prevista 1h: 0.00 mm. Medidas recomendadas associadas ao nível Laranja.,
42,7,2,email_sms,2026-05-08 02:01:00,confirmada,2026-05-08 02:09:00,Alerta Laranja na área Centro Urbano. Nível máximo de água: 73.67%. Precipitação acumulada 6h: 52.09 mm. Precipitação prevista 1h: 0.00 mm. Medidas recomendadas associadas ao nível Laranja.,
43,7,3,email_sms,2026-05-08 02:05:00,confirmada,2026-05-08 02:31:00,Alerta Laranja na área Centro Urbano. Nível máximo de água: 73.67%. Precipitação acumulada 6h: 52.09 mm. Precipitação prevista 1h: 0.00 mm. Medidas recomendadas associadas ao nível Laranja.,
44,7,4,email_sms,2026-05-08 02:08:00,enviada,,Alerta Laranja na área Centro Urbano. Nível máximo de água: 73.67%. Precipitação acumulada 6h: 52.09 mm. Precipitação prevista 1h: 0.00 mm. Medidas recomendadas associadas ao nível Laranja.,
45,7,5,email_sms,2026-05-08 02:08:00,enviada,,Alerta Laranja na área Centro Urbano. Nível máximo de água: 73.67%. Precipitação acumulada 6h: 52.09 mm. Precipitação prevista 1h: 0.00 mm. Medidas recomendadas associadas ao nível Laranja.,
46,7,6,email_sms,2026-05-08 02:10:00,enviada,,Alerta Laranja na área Centro Urbano. Nível máximo de água: 73.67%. Precipitação acumulada 6h: 52.09 mm. Precipitação prevista 1h: 0.00 mm. Medidas recomendadas associadas ao nível Laranja.,
47,7,7,email_sms,2026-05-08 02:01:00,enviada,,Alerta Laranja na área Centro Urbano. Nível máximo de água: 73.67%. Precipitação acumulada 6h: 52.09 mm. Precipitação prevista 1h: 0.00 mm. Medidas recomendadas associadas ao nível Laranja.,
48,8,1,email_sms,2026-05-08 02:08:00,enviada,,Alerta Laranja na área Zona Industrial. Nível máximo de água: 73.19%. Precipitação acumulada 6h: 51.17 mm. Precipitação prevista 1h: 1.60 mm. Medidas recomendadas associadas ao nível Laranja.,
49,8,2,email_sms,2026-05-08 02:04:00,confirmada,2026-05-08 02:23:00,Alerta Laranja na área Zona Industrial. Nível máximo de água: 73.19%. Precipitação acumulada 6h: 51.17 mm. Precipitação prevista 1h: 1.60 mm. Medidas recomendadas associadas ao nível Laranja.,
50,8,3,email_sms,2026-05-08 02:04:00,enviada,,Alerta Laranja na área Zona Industrial. Nível máximo de água: 73.19%. Precipitação acumulada 6h: 51.17 mm. Precipitação prevista 1h: 1.60 mm. Medidas recomendadas associadas ao nível Laranja.,
51,8,4,email_sms,2026-05-08 02:06:00,confirmada,2026-05-08 02:14:00,Alerta Laranja na área Zona Industrial. Nível máximo de água: 73.19%. Precipitação acumulada 6h: 51.17 mm. Precipitação prevista 1h: 1.60 mm. Medidas recomendadas associadas ao nível Laranja.,
52,8,5,email_sms,2026-05-08 02:08:00,enviada,,Alerta Laranja na área Zona Industrial. Nível máximo de água: 73.19%. Precipitação acumulada 6h: 51.17 mm. Precipitação prevista 1h: 1.60 mm. Medidas recomendadas associadas ao nível Laranja.,
53,8,6,email_sms,2026-05-08 02:04:00,enviada,,Alerta Laranja na área Zona Industrial. Nível máximo de água: 73.19%. Precipitação acumulada 6h: 51.17 mm. Precipitação prevista 1h: 1.60 mm. Medidas recomendadas associadas ao nível Laranja.,
54,8,7,email_sms,2026-05-08 02:10:00,enviada,,Alerta Laranja na área Zona Industrial. Nível máximo de água: 73.19%. Precipitação acumulada 6h: 51.17 mm. Precipitação prevista 1h: 1.60 mm. Medidas recomendadas associadas ao nível Laranja.,
55,9,1,email_sms,2026-05-08 03:03:00,confirmada,2026-05-08 03:08:00,Alerta Laranja na área Zona Ribeirinha. Nível máximo de água: 41.07%. Precipitação acumulada 6h: 9.18 mm. Precipitação prevista 1h: 22.02 mm. Medidas recomendadas associadas ao nível Laranja.,
56,9,2,email_sms,2026-05-08 03:06:00,enviada,,Alerta Laranja na área Zona Ribeirinha. Nível máximo de água: 41.07%. Precipitação acumulada 6h: 9.18 mm. Precipitação prevista 1h: 22.02 mm. Medidas recomendadas associadas ao nível Laranja.,
57,9,3,email_sms,2026-05-08 03:04:00,enviada,,Alerta Laranja na área Zona Ribeirinha. Nível máximo de água: 41.07%. Precipitação acumulada 6h: 9.18 mm. Precipitação prevista 1h: 22.02 mm. Medidas recomendadas associadas ao nível Laranja.,
58,9,4,email_sms,2026-05-08 03:06:00,confirmada,2026-05-08 03:29:00,Alerta Laranja na área Zona Ribeirinha. Nível máximo de água: 41.07%. Precipitação acumulada 6h: 9.18 mm. Precipitação prevista 1h: 22.02 mm. Medidas recomendadas associadas ao nível Laranja.,
59,9,5,email_sms,2026-05-08 03:02:00,enviada,,Alerta Laranja na área Zona Ribeirinha. Nível máximo de água: 41.07%. Precipitação acumulada 6h: 9.18 mm. Precipitação prevista 1h: 22.02 mm. Medidas recomendadas associadas ao nível Laranja.,
60,9,6,email_sms,2026-05-08 03:10:00,confirmada,2026-05-08 03:13:00,Alerta Laranja na área Zona Ribeirinha. Nível máximo de água: 41.07%. Precipitação acumulada 6h: 9.18 mm. Precipitação prevista 1h: 22.02 mm. Medidas recomendadas associadas ao nível Laranja.,
61,9,7,email_sms,2026-05-08 03:05:00,enviada,,Alerta Laranja na área Zona Ribeirinha. Nível máximo de água: 41.07%. Precipitação acumulada 6h: 9.18 mm. Precipitação prevista 1h: 22.02 mm. Medidas recomendadas associadas ao nível Laranja.,
62,10,1,email_sms,2026-05-08 03:02:00,confirmada,2026-05-08 03:30:00,Alerta Laranja na área Centro Urbano. Nível máximo de água: 76.97%. Precipitação acumulada 6h: 52.66 mm. Precipitação prevista 1h: 11.22 mm. Medidas recomendadas associadas ao nível Laranja.,
63,10,2,email_sms,2026-05-08 03:04:00,enviada,,Alerta Laranja na área Centro Urbano. Nível máximo de água: 76.97%. Precipitação acumulada 6h: 52.66 mm. Precipitação prevista 1h: 11.22 mm. Medidas recomendadas associadas ao nível Laranja.,
64,10,3,email_sms,2026-05-08 03:09:00,enviada,,Alerta Laranja na área Centro Urbano. Nível máximo de água: 76.97%. Precipitação acumulada 6h: 52.66 mm. Precipitação prevista 1h: 11.22 mm. Medidas recomendadas associadas ao nível Laranja.,
65,10,4,email_sms,2026-05-08 03:08:00,confirmada,2026-05-08 03:36:00,Alerta Laranja na área Centro Urbano. Nível máximo de água: 76.97%. Precipitação acumulada 6h: 52.66 mm. Precipitação prevista 1h: 11.22 mm. Medidas recomendadas associadas ao nível Laranja.,
66,10,5,email_sms,2026-05-08 03:02:00,confirmada,2026-05-08 03:17:00,Alerta Laranja na área Centro Urbano. Nível máximo de água: 76.97%. Precipitação acumulada 6h: 52.66 mm. Precipitação prevista 1h: 11.22 mm. Medidas recomendadas associadas ao nível Laranja.,
67,10,6,email_sms,2026-05-08 03:10:00,falhada,,Alerta Laranja na área Centro Urbano. Nível máximo de água: 76.97%. Precipitação acumulada 6h: 52.66 mm. Precipitação prevista 1h: 11.22 mm. Medidas recomendadas associadas ao nível Laranja.,Erro simulado no envio.
68,10,7,email_sms,2026-05-08 03:06:00,enviada,,Alerta Laranja na área Centro Urbano. Nível máximo de água: 76.97%. Precipitação acumulada 6h: 52.66 mm. Precipitação prevista 1h: 11.22 mm. Medidas recomendadas associadas ao nível Laranja.,
69,11,1,email_sms,2026-05-08 03:05:00,falhada,,Alerta Vermelho na área Zona Industrial. Nível máximo de água: 89.30%. Precipitação acumulada 6h: 74.92 mm. Precipitação prevista 1h: 52.14 mm. Medidas recomendadas associadas ao nível Vermelho.,Erro simulado no envio.
70,11,2,email_sms,2026-05-08 03:02:00,confirmada,2026-05-08 03:21:00,Alerta Vermelho na área Zona Industrial. Nível máximo de água: 89.30%. Precipitação acumulada 6h: 74.92 mm. Precipitação prevista 1h: 52.14 mm. Medidas recomendadas associadas ao nível Vermelho.,
71,11,3,email_sms,2026-05-08 03:05:00,confirmada,2026-05-08 03:13:00,Alerta Vermelho na área Zona Industrial. Nível máximo de água: 89.30%. Precipitação acumulada 6h: 74.92 mm. Precipitação prevista 1h: 52.14 mm. Medidas recomendadas associadas ao nível Vermelho.,
72,11,4,email_sms,2026-05-08 03:07:00,confirmada,2026-05-08 03:37:00,Alerta Vermelho na área Zona Industrial. Nível máximo de água: 89.30%. Precipitação acumulada 6h: 74.92 mm. Precipitação prevista 1h: 52.14 mm. Medidas recomendadas associadas ao nível Vermelho.,
73,11,5,email_sms,2026-05-08 03:03:00,enviada,,Alerta Vermelho na área Zona Industrial. Nível máximo de água: 89.30%. Precipitação acumulada 6h: 74.92 mm. Precipitação prevista 1h: 52.14 mm. Medidas recomendadas associadas ao nível Vermelho.,
74,11,6,email_sms,2026-05-08 03:10:00,confirmada,2026-05-08 03:28:00,Alerta Vermelho na área Zona Industrial. Nível máximo de água: 89.30%. Precipitação acumulada 6h: 74.92 mm. Precipitação prevista 1h: 52.14 mm. Medidas recomendadas associadas ao nível Vermelho.,
75,11,7,email_sms,2026-05-08 03:08:00,confirmada,2026-05-08 03:34:00,Alerta Vermelho na área Zona Industrial. Nível máximo de água: 89.30%. Precipitação acumulada 6h: 74.92 mm. Precipitação prevista 1h: 52.14 mm. Medidas recomendadas associadas ao nível Vermelho.,
76,11,8,email_sms,2026-05-08 03:06:00,confirmada,2026-05-08 03:36:00,Alerta Vermelho na área Zona Industrial. Nível máximo de água: 89.30%. Precipitação acumulada 6h: 74.92 mm. Precipitação prevista 1h: 52.14 mm. Medidas recomendadas associadas ao nível Vermelho.,
77,12,1,email_sms,2026-05-08 04:04:00,confirmada,2026-05-08 04:16:00,Alerta Laranja na área Zona Ribeirinha. Nível máximo de água: 60.74%. Precipitação acumulada 6h: 30.90 mm. Precipitação prevista 1h: 22.40 mm. Medidas recomendadas associadas ao nível Laranja.,
78,12,2,email_sms,2026-05-08 04:01:00,confirmada,2026-05-08 04:19:00,Alerta Laranja na área Zona Ribeirinha. Nível máximo de água: 60.74%. Precipitação acumulada 6h: 30.90 mm. Precipitação prevista 1h: 22.40 mm. Medidas recomendadas associadas ao nível Laranja.,
79,12,3,email_sms,2026-05-08 04:04:00,falhada,,Alerta Laranja na área Zona Ribeirinha. Nível máximo de água: 60.74%. Precipitação acumulada 6h: 30.90 mm. Precipitação prevista 1h: 22.40 mm. Medidas recomendadas associadas ao nível Laranja.,Erro simulado no envio.
80,12,4,email_sms,2026-05-08 04:05:00,confirmada,2026-05-08 04:23:00,Alerta Laranja na área Zona Ribeirinha. Nível máximo de água: 60.74%. Precipitação acumulada 6h: 30.90 mm. Precipitação prevista 1h: 22.40 mm. Medidas recomendadas associadas ao nível Laranja.,
81,12,5,email_sms,2026-05-08 04:10:00,confirmada,2026-05-08 04:37:00,Alerta Laranja na área Zona Ribeirinha. Nível máximo de água: 60.74%. Precipitação acumulada 6h: 30.90 mm. Precipitação prevista 1h: 22.40 mm. Medidas recomendadas associadas ao nível Laranja.,
82,12,6,email_sms,2026-05-08 04:04:00,enviada,,Alerta Laranja na área Zona Ribeirinha. Nível máximo de água: 60.74%. Precipitação acumulada 6h: 30.90 mm. Precipitação prevista 1h: 22.40 mm. Medidas recomendadas associadas ao nível Laranja.,
83,12,7,email_sms,2026-05-08 04:03:00,confirmada,2026-05-08 04:28:00,Alerta Laranja na área Zona Ribeirinha. Nível máximo de água: 60.74%. Precipitação acumulada 6h: 30.90 mm. Precipitação prevista 1h: 22.40 mm. Medidas recomendadas associadas ao nível Laranja.,
84,13,1,email_sms,2026-05-08 04:10:00,confirmada,2026-05-08 04:34:00,Alerta Laranja na área Centro Urbano. Nível máximo de água: 86.85%. Precipitação acumulada 6h: 54.81 mm. Precipitação prevista 1h: 7.40 mm. Medidas recomendadas associadas ao nível Laranja.,
85,13,2,email_sms,2026-05-08 04:03:00,enviada,,Alerta Laranja na área Centro Urbano. Nível máximo de água: 86.85%. Precipitação acumulada 6h: 54.81 mm. Precipitação prevista 1h: 7.40 mm. Medidas recomendadas associadas ao nível Laranja.,
86,13,3,email_sms,2026-05-08 04:01:00,enviada,,Alerta Laranja na área Centro Urbano. Nível máximo de água: 86.85%. Precipitação acumulada 6h: 54.81 mm. Precipitação prevista 1h: 7.40 mm. Medidas recomendadas associadas ao nível Laranja.,
87,13,4,email_sms,2026-05-08 04:08:00,enviada,,Alerta Laranja na área Centro Urbano. Nível máximo de água: 86.85%. Precipitação acumulada 6h: 54.81 mm. Precipitação prevista 1h: 7.40 mm. Medidas recomendadas associadas ao nível Laranja.,
88,13,5,email_sms,2026-05-08 04:02:00,enviada,,Alerta Laranja na área Centro Urbano. Nível máximo de água: 86.85%. Precipitação acumulada 6h: 54.81 mm. Precipitação prevista 1h: 7.40 mm. Medidas recomendadas associadas ao nível Laranja.,
89,13,6,email_sms,2026-05-08 04:03:00,falhada,,Alerta Laranja na área Centro Urbano. Nível máximo de água: 86.85%. Precipitação acumulada 6h: 54.81 mm. Precipitação prevista 1h: 7.40 mm. Medidas recomendadas associadas ao nível Laranja.,Erro simulado no envio.
90,13,7,email_sms,2026-05-08 04:03:00,confirmada,2026-05-08 04:31:00,Alerta Laranja na área Centro Urbano. Nível máximo de água: 86.85%. Precipitação acumulada 6h: 54.81 mm. Precipitação prevista 1h: 7.40 mm. Medidas recomendadas associadas ao nível Laranja.,
91,14,1,email_sms,2026-05-08 04:09:00,enviada,,Alerta Vermelho na área Zona Industrial. Nível máximo de água: 89.78%. Precipitação acumulada 6h: 74.92 mm. Precipitação prevista 1h: 17.23 mm. Medidas recomendadas associadas ao nível Vermelho.,
92,14,2,email_sms,2026-05-08 04:07:00,enviada,,Alerta Vermelho na área Zona Industrial. Nível máximo de água: 89.78%. Precipitação acumulada 6h: 74.92 mm. Precipitação prevista 1h: 17.23 mm. Medidas recomendadas associadas ao nível Vermelho.,
93,14,3,email_sms,2026-05-08 04:05:00,enviada,,Alerta Vermelho na área Zona Industrial. Nível máximo de água: 89.78%. Precipitação acumulada 6h: 74.92 mm. Precipitação prevista 1h: 17.23 mm. Medidas recomendadas associadas ao nível Vermelho.,
94,14,4,email_sms,2026-05-08 04:02:00,enviada,,Alerta Vermelho na área Zona Industrial. Nível máximo de água: 89.78%. Precipitação acumulada 6h: 74.92 mm. Precipitação prevista 1h: 17.23 mm. Medidas recomendadas associadas ao nível Vermelho.,
95,14,5,email_sms,2026-05-08 04:02:00,enviada,,Alerta Vermelho na área Zona Industrial. Nível máximo de água: 89.78%. Precipitação acumulada 6h: 74.92 mm. Precipitação prevista 1h: 17.23 mm. Medidas recomendadas associadas ao nível Vermelho.,
96,14,6,email_sms,2026-05-08 04:09:00,falhada,,Alerta Vermelho na área Zona Industrial. Nível máximo de água: 89.78%. Precipitação acumulada 6h: 74.92 mm. Precipitação prevista 1h: 17.23 mm. Medidas recomendadas associadas ao nível Vermelho.,Erro simulado no envio.
97,14,7,email_sms,2026-05-08 04:08:00,enviada,,Alerta Vermelho na área Zona Industrial. Nível máximo de água: 89.78%. Precipitação acumulada 6h: 74.92 mm. Precipitação prevista 1h: 17.23 mm. Medidas recomendadas associadas ao nível Vermelho.,
98,14,8,email_sms,2026-05-08 04:06:00,enviada,,Alerta Vermelho na área Zona Industrial. Nível máximo de água: 89.78%. Precipitação acumulada 6h: 74.92 mm. Precipitação prevista 1h: 17.23 mm. Medidas recomendadas associadas ao nível Vermelho.,
99,15,1,email_sms,2026-05-08 05:10:00,enviada,,Alerta Vermelho na área Zona Ribeirinha. Nível máximo de água: 93.96%. Precipitação acumulada 6h: 63.38 mm. Precipitação prevista 1h: 43.20 mm. Medidas recomendadas associadas ao nível Vermelho.,
100,15,2,email_sms,2026-05-08 05:10:00,confirmada,2026-05-08 05:25:00,Alerta Vermelho na área Zona Ribeirinha. Nível máximo de água: 93.96%. Precipitação acumulada 6h: 63.38 mm. Precipitação prevista 1h: 43.20 mm. Medidas recomendadas associadas ao nível Vermelho.,
101,15,3,email_sms,2026-05-08 05:09:00,enviada,,Alerta Vermelho na área Zona Ribeirinha. Nível máximo de água: 93.96%. Precipitação acumulada 6h: 63.38 mm. Precipitação prevista 1h: 43.20 mm. Medidas recomendadas associadas ao nível Vermelho.,
102,15,4,email_sms,2026-05-08 05:01:00,enviada,,Alerta Vermelho na área Zona Ribeirinha. Nível máximo de água: 93.96%. Precipitação acumulada 6h: 63.38 mm. Precipitação prevista 1h: 43.20 mm. Medidas recomendadas associadas ao nível Vermelho.,
103,15,5,email_sms,2026-05-08 05:09:00,confirmada,2026-05-08 05:19:00,Alerta Vermelho na área Zona Ribeirinha. Nível máximo de água: 93.96%. Precipitação acumulada 6h: 63.38 mm. Precipitação prevista 1h: 43.20 mm. Medidas recomendadas associadas ao nível Vermelho.,
104,15,6,email_sms,2026-05-08 05:01:00,enviada,,Alerta Vermelho na área Zona Ribeirinha. Nível máximo de água: 93.96%. Precipitação acumulada 6h: 63.38 mm. Precipitação prevista 1h: 43.20 mm. Medidas recomendadas associadas ao nível Vermelho.,
