idalerta_evidencia,idalerta,idleitura_sensor,idprevisao,tipo_variavel,valor_usado,unidade,limiar_aplicado,contribuicao_para_alerta
24,8,,12,precipitacao_prevista_1h,1.6,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
25,9,115,,nivel_agua_percentagem,41.07,%,70/85/90%,Leitura máxima de nível de água na área.
26,9,,,precipitacao_acumulada_6h,9.18,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
27,9,,13,precipitacao_prevista_1h,22.02,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
28,10,127,,nivel_agua_percentagem,76.97,%,70/85/90%,Leitura máxima de nível de água na área.
29,10,,,precipitacao_acumulada_6h,52.66,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
30,10,,15,precipitacao_prevista_1h,11.22,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
31,11,142,,nivel_agua_percentagem,89.3,%,70/85/90%,Leitura máxima de nível de água na área.
32,11,,,precipitacao_acumulada_6h,74.92,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
33,11,,16,precipitacao_prevista_1h,52.14,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
34,12,151,,nivel_agua_percentagem,60.74,%,70/85/90%,Leitura máxima de nível de água na área.
35,12,,,precipitacao_acumulada_6h,30.9,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
36,12,,17,precipitacao_prevista_1h,22.4,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
37,13,166,,nivel_agua_percentagem,86.85,%,70/85/90%,Leitura máxima de nível de água na área.
38,13,,,precipitacao_acumulada_6h,54.81,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
39,13,,19,precipitacao_prevista_1h,7.4,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
40,14,175,,nivel_agua_percentagem,89.78,%,70/85/90%,Leitura máxima de nível de água na área.
41,14,,,precipitacao_acumulada_6h,74.92,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
42,14,,20,precipitacao_prevista_1h,17.23,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
43,15,184,,nivel_agua_percentagem,93.96,%,70/85/90%,Leitura máxima de nível de água na área.
44,15,,,precipitacao_acumulada_6h,63.38,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
45,15,,21,precipitacao_prevista_1h,43.2,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
46,16,205,,nivel_agua_percentagem,79.96,%,70/85/90%,Leitura máxima de nível de água na área.
47,16,,,precipitacao_acumulada_6h,57.28,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
48,16,,23,precipitacao_prevista_1h,3.26,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
49,17,214,,nivel_agua_percentagem,88.73,%,70/85/90%,Leitura máxima de nível de água na área.
50,17,,,precipitacao_acumulada_6h,76.6,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
51,17,,24,precipitacao_prevista_1h,0,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
52,18,220,,nivel_agua_percentagem,90.44,%,70/85/90%,Leitura máxima de nível de água na área.
53,18,,,precipitacao_acumulada_6h,64.26,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
54,18,,25,precipitacao_prevista_1h,3.16,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
55,19,229,,nivel_agua_percentagem,40.34,%,70/85/90%,Leitura máxima de nível de água na área.
56,19,,,precipitacao_acumulada_6h,10.09,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
57,19,,26,precipitacao_prevista_1h,23.45,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
58,20,238,,nivel_agua_percentagem,44.82,%,70/85/90%,Leitura máxima de nível de água na área.
59,20,,,precipitacao_acumulada_6h,7.85,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
60,20,,27,precipitacao_prevista_1h,20.43,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
61,21,244,,nivel_agua_percentagem,58.15,%,70/85/90%,Leitura máxima de nível de água na área.
62,21,,,precipitacao_acumulada_6h,30.38,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
63,21,,28,precipitacao_prevista_1h,0,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
64,22,256,,nivel_agua_percentagem,93.41,%,70/85/90%,Leitura máxima de nível de água na área.
65,22,,,precipitacao_acumulada_6h,64.57,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
66,22,,29,precipitacao_prevista_1h,0,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
67,23,268,,nivel_agua_percentagem,45.98,%,70/85/90%,Leitura máxima de nível de água na área.
68,23,,,precipitacao_acumulada_6h,14.59,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
69,23,,30,precipitacao_prevista_1h,12.28,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
70,24,277,,nivel_agua_percentagem,38.68,%,70/85/90%,Leitura máxima de nível de água na área.
71,24,,,precipitacao_acumulada_6h,11.07,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
72,24,,31,precipitacao_prevista_1h,17.22,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
73,25,286,,nivel_agua_percentagem,58.37,%,70/85/90%,Leitura máxima de nível de água na área.
74,25,,,precipitacao_acumulada_6h,33.67,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
75,25,,32,precipitacao_prevista_1h,19.66,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
76,26,295,,nivel_agua_percentagem,92.52,%,70/85/90%,Leitura máxima de nível de água na área.
77,26,,,precipitacao_acumulada_6h,64.65,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
78,26,,33,precipitacao_prevista_1h,9.9,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
79,27,307,,nivel_agua_percentagem,45.86,%,70/85/90%,Leitura máxima de nível de água na área.
80,27,,,precipitacao_acumulada_6h,14.52,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
81,27,,35,precipitacao_prevista_1h,15.03,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
82,28,316,,nivel_agua_percentagem,59.44,%,70/85/90%,Leitura máxima de nível de água na área.
83,28,,,precipitacao_acumulada_6h,36.09,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
84,28,,36,precipitacao_prevista_1h,15.18,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
85,29,328,,nivel_agua_percentagem,90.28,%,70/85/90%,Leitura máxima de nível de água na área.
86,29,,,precipitacao_acumulada_6h,65.74,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
87,29,,37,precipitacao_prevista_1h,10.25,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
88,30,340,,nivel_agua_percentagem,53.2,%,70/85/90%,Leitura máxima de nível de água na área.
89,30,,,precipitacao_acumulada_6h,16.29,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
90,30,,38,precipitacao_prevista_1h,13.31,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
91,31,349,,nivel_agua_percentagem,92.79,%,70/85/90%,Leitura máxima de nível de água na área.
92,31,,,precipitacao_acumulada_6h,76.89,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
93,31,,39,precipitacao_prevista_1h,58.94,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
94,32,361,,nivel_agua_percentagem,75.43,%,70/85/90%,Leitura máxima de nível de água na área.
95,32,,,precipitacao_acumulada_6h,45.34,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
96,32,,41,precipitacao_prevista_1h,8.64,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
97,33,379,,nivel_agua_percentagem,100,%,70/85/90%,Leitura máxima de nível de água na área.
98,33,,,precipitacao_acumulada_6h,78.31,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
99,33,,43,precipitacao_prevista_1h,19.03,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
100,34,391,,nivel_agua_percentagem,41.82,%,70/85/90%,Leitura máxima de nível de água na área.
101,34,,,precipitacao_acumulada_6h,16.36,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
102,34,,44,precipitacao_prevista_1h,6.52,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
103,35,400,,nivel_agua_percentagem,50.6,%,70/85/90%,Leitura máxima de nível de água na área.
104,35,,,precipitacao_acumulada_6h,14.83,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
105,35,,45,precipitacao_prevista_1h,13.41,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
106,36,406,,nivel_agua_percentagem,79.75,%,70/85/90%,Leitura máxima de nível de água na área.
107,36,,,precipitacao_acumulada_6h,53.28,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
108,36,,46,precipitacao_prevista_1h,32.72,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
109,37,415,,nivel_agua_percentagem,98.43,%,70/85/90%,Leitura máxima de nível de água na área.
110,37,,,precipitacao_acumulada_6h,78.63,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
111,37,,47,precipitacao_prevista_1h,0,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
112,38,436,,nivel_agua_percentagem,62.42,%,70/85/90%,Leitura máxima de nível de água na área.
113,38,,,precipitacao_acumulada_6h,26.54,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
114,38,,49,precipitacao_prevista_1h,20.47,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
115,39,448,,nivel_agua_percentagem,77.72,%,70/85/90%,Leitura máxima de nível de água na área.
116,39,,,precipitacao_acumulada_6h,52.86,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
117,39,,50,precipitacao_prevista_1h,0,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
118,40,451,,nivel_agua_percentagem,98.72,%,70/85/90%,Leitura máxima de nível de água na área.
119,40,,,precipitacao_acumulada_6h,80.59,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
120,40,,51,precipitacao_prevista_1h,13.27,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
121,41,481,,nivel_agua_percentagem,79.56,%,70/85/90%,Leitura máxima de nível de água na área.
122,41,,,precipitacao_acumulada_6h,50.96,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
123,41,,54,precipitacao_prevista_1h,14.28,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
124,42,487,,nivel_agua_percentagem,100,%,70/85/90%,Leitura máxima de nível de água na área.
125,42,,,precipitacao_acumulada_6h,80.67,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
126,42,,55,precipitacao_prevista_1h,0,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
127,43,520,,nivel_agua_percentagem,79.59,%,70/85/90%,Leitura máxima de nível de água na área.
128,43,,,precipitacao_acumulada_6h,49.37,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
129,43,,58,precipitacao_prevista_1h,15.02,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
130,44,526,,nivel_agua_percentagem,98.04,%,70/85/90%,Leitura máxima de nível de água na área.
131,44,,,precipitacao_acumulada_6h,77.78,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
132,44,,59,precipitacao_prevista_1h,8.85,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
133,45,556,,nivel_agua_percentagem,76.71,%,70/85/90%,Leitura máxima de nível de água na área.
134,45,,,precipitacao_acumulada_6h,51.37,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
135,45,,62,precipitacao_prevista_1h,0.2,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
136,46,559,,nivel_agua_percentagem,69.13,%,70/85/90%,Leitura máxima de nível de água na área.
137,46,,,precipitacao_acumulada_6h,40.9,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
138,46,,63,precipitacao_prevista_1h,22.29,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
139,47,568,,nivel_agua_percentagem,30.76,%,70/85/90%,Leitura máxima de nível de água na área.
140,47,,,precipitacao_acumulada_6h,7.11,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
141,47,,64,precipitacao_prevista_1h,24.11,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
142,48,583,,nivel_agua_percentagem,60.28,%,70/85/90%,Leitura máxima de nível de água na área.
143,48,,,precipitacao_acumulada_6h,28.68,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
144,48,,65,precipitacao_prevista_1h,19.01,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
145,49,586,,nivel_agua_percentagem,79.99,%,70/85/90%,Leitura máxima de nível de água na área.
146,49,,,precipitacao_acumulada_6h,54.36,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
147,49,,66,precipitacao_prevista_1h,2.35,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
148,50,595,,nivel_agua_percentagem,64.3,%,70/85/90%,Leitura máxima de nível de água na área.
149,50,,,precipitacao_acumulada_6h,39.46,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
150,50,,67,precipitacao_prevista_1h,9.11,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
151,51,610,,nivel_agua_percentagem,34.72,%,70/85/90%,Leitura máxima de nível de água na área.
152,51,,,precipitacao_acumulada_6h,7.85,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
153,51,,68,precipitacao_prevista_1h,19.88,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
154,52,634,,nivel_agua_percentagem,64.17,%,70/85/90%,Leitura máxima de nível de água na área.
155,52,,,precipitacao_acumulada_6h,40.12,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
156,52,,71,precipitacao_prevista_1h,23.64,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
157,53,658,,nivel_agua_percentagem,45.38,%,70/85/90%,Leitura máxima de nível de água na área.
158,53,,,precipitacao_acumulada_6h,14.35,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
159,53,,74,precipitacao_prevista_1h,19.03,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
160,54,673,,nivel_agua_percentagem,62.24,%,70/85/90%,Leitura máxima de nível de água na área.
161,54,,,precipitacao_acumulada_6h,38.5,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
162,54,,75,precipitacao_prevista_1h,8.43,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
163,55,688,,nivel_agua_percentagem,52.35,%,70/85/90%,Leitura máxima de nível de água na área.
164,55,,,precipitacao_acumulada_6h,15.3,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
165,55,,77,precipitacao_prevista_1h,14.11,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
166,56,709,,nivel_agua_percentagem,63.18,%,70/85/90%,Leitura máxima de nível de água na área.
167,56,,,precipitacao_acumulada_6h,37.81,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
168,56,,79,precipitacao_prevista_1h,4.88,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
169,57,712,,nivel_agua_percentagem,47.68,%,70/85/90%,Leitura máxima de nível de água na área.
170,57,,,precipitacao_acumulada_6h,31.76,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
171,57,,80,precipitacao_prevista_1h,32.94,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
172,58,745,,nivel_agua_percentagem,60.56,%,70/85/90%,Leitura máxima de nível de água na área.
173,58,,,precipitacao_acumulada_6h,39.63,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
174,58,,83,precipitacao_prevista_1h,8.57,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
175,59,754,,nivel_agua_percentagem,50.08,%,70/85/90%,Leitura máxima de nível de água na área.
176,59,,,precipitacao_acumulada_6h,31.89,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
177,59,,84,precipitacao_prevista_1h,12.7,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
178,60,757,,nivel_agua_percentagem,53.53,%,70/85/90%,Leitura máxima de nível de água na área.
179,60,,,precipitacao_acumulada_6h,14.84,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
180,60,,85,precipitacao_prevista_1h,18.02,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
181,61,781,,nivel_agua_percentagem,46.78,%,70/85/90%,Leitura máxima de nível de água na área.
182,61,,,precipitacao_acumulada_6h,17.24,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
183,61,,87,precipitacao_prevista_1h,19.89,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
184,62,790,,nivel_agua_percentagem,59.7,%,70/85/90%,Leitura máxima de nível de água na área.
185,62,,,precipitacao_acumulada_6h,35.58,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
186,62,,88,precipitacao_prevista_1h,27.27,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
187,63,796,,nivel_agua_percentagem,48.67,%,70/85/90%,Leitura máxima de nível de água na área.
188,63,,,precipitacao_acumulada_6h,9.78,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
189,63,,89,precipitacao_prevista_1h,0,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
190,64,802,,nivel_agua_percentagem,47.85,%,70/85/90%,Leitura máxima de nível de água na área.
191,64,,,precipitacao_acumulada_6h,13.19,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
192,64,,90,precipitacao_prevista_1h,14.66,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
193,65,826,,nivel_agua_percentagem,53.62,%,70/85/90%,Leitura máxima de nível de água na área.
194,65,,,precipitacao_acumulada_6h,34.7,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
195,65,,92,precipitacao_prevista_1h,10.33,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
196,66,829,,nivel_agua_percentagem,69.73,%,70/85/90%,Leitura máxima de nível de água na área.
197,66,,,precipitacao_acumulada_6h,43.3,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
198,66,,93,precipitacao_prevista_1h,40.43,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
199,67,862,,nivel_agua_percentagem,56.01,%,70/85/90%,Leitura máxima de nível de água na área.
200,67,,,precipitacao_acumulada_6h,34.18,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
201,67,,96,precipitacao_prevista_1h,9.26,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
202,68,871,,nivel_agua_percentagem,72.32,%,70/85/90%,Leitura máxima de nível de água na área.
203,68,,,precipitacao_acumulada_6h,44.58,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
204,68,,97,precipitacao_prevista_1h,22.42,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
205,69,886,,nivel_agua_percentagem,44.64,%,70/85/90%,Leitura máxima de nível de água na área.
206,69,,,precipitacao_acumulada_6h,18.52,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
207,69,,99,precipitacao_prevista_1h,17.24,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
208,70,898,,nivel_agua_percentagem,51.45,%,70/85/90%,Leitura máxima de nível de água na área.
209,70,,,precipitacao_acumulada_6h,34.26,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
210,70,,100,precipitacao_prevista_1h,0,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
211,71,907,,nivel_agua_percentagem,70.11,%,70/85/90%,Leitura máxima de nível de água na área.
212,71,,,precipitacao_acumulada_6h,41.27,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
213,71,,101,precipitacao_prevista_1h,9.21,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
214,72,943,,nivel_agua_percentagem,76.14,%,70/85/90%,Leitura máxima de nível de água na área.
215,72,,,precipitacao_acumulada_6h,39.44,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
216,72,,105,precipitacao_prevista_1h,0,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
217,73,946,,nivel_agua_percentagem,45.37,%,70/85/90%,Leitura máxima de nível de água na área.
218,73,,,precipitacao_acumulada_6h,10.65,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
219,73,,106,precipitacao_prevista_1h,2.83,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
220,74,976,,nivel_agua_percentagem,65.27,%,70/85/90%,Leitura máxima de nível de água na área.
221,74,,,precipitacao_acumulada_6h,39.45,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
222,74,,109,precipitacao_prevista_1h,1.39,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
223,75,985,,nivel_agua_percentagem,45.48,%,70/85/90%,Leitura máxima de nível de água na área.
224,75,,,precipitacao_acumulada_6h,12.46,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
225,75,,110,precipitacao_prevista_1h,10.31,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
226,76,997,,nivel_agua_percentagem,49.78,%,70/85/90%,Leitura máxima de nível de água na área.
227,76,,,precipitacao_acumulada_6h,17.31,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
228,76,,111,precipitacao_prevista_1h,21.13,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
229,77,1015,,nivel_agua_percentagem,98.54,%,70/85/90%,Leitura máxima de nível de água na área.
230,77,,,precipitacao_acumulada_6h,82.31,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
231,77,,113,precipitacao_prevista_1h,52.33,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
232,78,1018,,nivel_agua_percentagem,40.08,%,70/85/90%,Leitura máxima de nível de água na área.
233,78,,,precipitacao_acumulada_6h,11.38,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
234,78,,114,precipitacao_prevista_1h,0,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
235,79,1033,,nivel_agua_percentagem,46.65,%,70/85/90%,Leitura máxima de nível de água na área.
236,79,,,precipitacao_acumulada_6h,18.49,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
237,79,,115,precipitacao_prevista_1h,16.53,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
238,80,1042,,nivel_agua_percentagem,51.63,%,70/85/90%,Leitura máxima de nível de água na área.
239,80,,,precipitacao_acumulada_6h,35.14,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
240,80,,116,precipitacao_prevista_1h,24.8,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
241,81,1051,,nivel_agua_percentagem,84.92,%,70/85/90%,Leitura máxima de nível de água na área.
242,81,,,precipitacao_acumulada_6h,50.17,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
243,81,,117,precipitacao_prevista_1h,15.61,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
244,82,1072,,nivel_agua_percentagem,55.25,%,70/85/90%,Leitura máxima de nível de água na área.
245,82,,,precipitacao_acumulada_6h,35.77,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
246,82,,120,precipitacao_prevista_1h,0,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
247,83,1087,,nivel_agua_percentagem,83.54,%,70/85/90%,Leitura máxima de nível de água na área.
248,83,,,precipitacao_acumulada_6h,51.36,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
249,83,,121,precipitacao_prevista_1h,2.54,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
