idleitura_sensor,idsensor,tipo_variavel,valor,unidade,data_observacao,data_registo,qualidade_dado,validada
112,4,nivel_agua_percentagem,36.95,%,2026-05-08 03:00:00,2026-05-08 03:01:00,boa,1
113,5,precipitacao_horaria,2.71,mm,2026-05-08 03:00:00,2026-05-08 03:05:00,boa,1
114,6,caudal_estimado,26.27,m3/s,2026-05-08 03:00:00,2026-05-08 03:01:00,boa,1
115,7,nivel_agua_percentagem,41.07,%,2026-05-08 03:00:00,2026-05-08 03:01:00,boa,1
116,8,precipitacao_horaria,2.71,mm,2026-05-08 03:00:00,2026-05-08 03:00:00,boa,1
117,9,caudal_estimado,40.79,m3/s,2026-05-08 03:00:00,2026-05-08 03:01:00,boa,1
118,10,nivel_agua_percentagem,32.26,%,2026-05-08 03:00:00,2026-05-08 03:01:00,boa,1
119,11,precipitacao_horaria,0.41,mm,2026-05-08 03:00:00,2026-05-08 03:05:00,boa,1
120,12,caudal_estimado,24.83,m3/s,2026-05-08 03:00:00,2026-05-08 03:05:00,suspeita,0
121,13,nivel_agua_percentagem,32.85,%,2026-05-08 03:00:00,2026-05-08 03:05:00,boa,1
122,14,precipitacao_horaria,0.41,mm,2026-05-08 03:00:00,2026-05-08 03:05:00,boa,1
123,15,caudal_estimado,23.36,m3/s,2026-05-08 03:00:00,2026-05-08 03:02:00,suspeita,0
124,16,nivel_agua_percentagem,32.04,%,2026-05-08 03:00:00,2026-05-08 03:01:00,boa,1
125,17,precipitacao_horaria,0.41,mm,2026-05-08 03:00:00,2026-05-08 03:01:00,boa,1
126,18,caudal_estimado,20.72,m3/s,2026-05-08 03:00:00,2026-05-08 03:05:00,boa,1
127,19,nivel_agua_percentagem,76.97,%,2026-05-08 03:00:00,2026-05-08 03:02:00,boa,1
128,20,precipitacao_horaria,0.57,mm,2026-05-08 03:00:00,2026-05-08 03:01:00,boa,1
129,21,caudal_estimado,51.48,m3/s,2026-05-08 03:00:00,2026-05-08 03:05:00,boa,1
130,22,nivel_agua_percentagem,75.22,%,2026-05-08 03:00:00,2026-05-08 03:05:00,boa,1
131,23,precipitacao_horaria,0.57,mm,2026-05-08 03:00:00,2026-05-08 03:00:00,suspeita,0
132,24,caudal_estimado,60.5,m3/s,2026-05-08 03:00:00,2026-05-08 03:05:00,boa,1
133,25,nivel_agua_percentagem,68.04,%,2026-05-08 03:00:00,2026-05-08 03:01:00,boa,1
134,26,precipitacao_horaria,0.57,mm,2026-05-08 03:00:00,2026-05-08 03:03:00,boa,1
135,27,caudal_estimado,53.21,m3/s,2026-05-08 03:00:00,2026-05-08 03:05:00,boa,1
136,28,nivel_agua_percentagem,83.15,%,2026-05-08 03:00:00,2026-05-08 03:00:00,boa,1
137,29,precipitacao_horaria,23.75,mm,2026-05-08 03:00:00,2026-05-08 03:04:00,boa,1
138,30,caudal_estimado,110.89,m3/s,2026-05-08 03:00:00,2026-05-08 03:01:00,boa,1
139,31,nivel_agua_percentagem,88.56,%,2026-05-08 03:00:00,2026-05-08 03:04:00,boa,1
140,32,precipitacao_horaria,23.75,mm,2026-05-08 03:00:00,2026-05-08 03:05:00,boa,1
141,33,caudal_estimado,106.82,m3/s,2026-05-08 03:00:00,2026-05-08 03:01:00,boa,1
142,34,nivel_agua_percentagem,89.3,%,2026-05-08 03:00:00,2026-05-08 03:05:00,boa,1
143,35,precipitacao_horaria,23.75,mm,2026-05-08 03:00:00,2026-05-08 03:03:00,boa,1
144,36,caudal_estimado,69.04,m3/s,2026-05-08 03:00:00,2026-05-08 03:03:00,boa,1
145,1,nivel_agua_percentagem,52.8,%,2026-05-08 04:00:00,2026-05-08 04:00:00,boa,1
146,2,precipitacao_horaria,21.72,mm,2026-05-08 04:00:00,2026-05-08 04:01:00,boa,1
147,3,caudal_estimado,65.24,m3/s,2026-05-08 04:00:00,2026-05-08 04:00:00,boa,1
148,4,nivel_agua_percentagem,61.81,%,2026-05-08 04:00:00,2026-05-08 04:03:00,suspeita,0
149,5,precipitacao_horaria,21.72,mm,2026-05-08 04:00:00,2026-05-08 04:05:00,boa,1
150,6,caudal_estimado,54.05,m3/s,2026-05-08 04:00:00,2026-05-08 04:03:00,suspeita,0
151,7,nivel_agua_percentagem,60.74,%,2026-05-08 04:00:00,2026-05-08 04:05:00,boa,1
152,8,precipitacao_horaria,21.72,mm,2026-05-08 04:00:00,2026-05-08 04:00:00,boa,1
153,9,caudal_estimado,36.69,m3/s,2026-05-08 04:00:00,2026-05-08 04:03:00,boa,1
154,10,nivel_agua_percentagem,38.34,%,2026-05-08 04:00:00,2026-05-08 04:04:00,boa,1
155,11,precipitacao_horaria,3.51,mm,2026-05-08 04:00:00,2026-05-08 04:05:00,boa,1
156,12,caudal_estimado,37.65,m3/s,2026-05-08 04:00:00,2026-05-08 04:00:00,boa,1
157,13,nivel_agua_percentagem,35.46,%,2026-05-08 04:00:00,2026-05-08 04:03:00,boa,1
158,14,precipitacao_horaria,3.51,mm,2026-05-08 04:00:00,2026-05-08 04:05:00,boa,1
159,15,caudal_estimado,29.98,m3/s,2026-05-08 04:00:00,2026-05-08 04:03:00,boa,1
160,16,nivel_agua_percentagem,37.66,%,2026-05-08 04:00:00,2026-05-08 04:02:00,boa,1
161,17,precipitacao_horaria,3.51,mm,2026-05-08 04:00:00,2026-05-08 04:01:00,boa,1
162,18,caudal_estimado,37.78,m3/s,2026-05-08 04:00:00,2026-05-08 04:04:00,boa,1
163,19,nivel_agua_percentagem,76.77,%,2026-05-08 04:00:00,2026-05-08 04:03:00,boa,1
164,20,precipitacao_horaria,2.15,mm,2026-05-08 04:00:00,2026-05-08 04:04:00,boa,1
165,21,caudal_estimado,76.57,m3/s,2026-05-08 04:00:00,2026-05-08 04:04:00,boa,1
166,22,nivel_agua_percentagem,86.85,%,2026-05-08 04:00:00,2026-05-08 04:03:00,boa,1
167,23,precipitacao_horaria,2.15,mm,2026-05-08 04:00:00,2026-05-08 04:05:00,boa,1
168,24,caudal_estimado,59.38,m3/s,2026-05-08 04:00:00,2026-05-08 04:01:00,boa,1
169,25,nivel_agua_percentagem,71.65,%,2026-05-08 04:00:00,2026-05-08 04:04:00,boa,1
170,26,precipitacao_horaria,2.15,mm,2026-05-08 04:00:00,2026-05-08 04:02:00,boa,1
171,27,caudal_estimado,58.57,m3/s,2026-05-08 04:00:00,2026-05-08 04:05:00,boa,1
172,28,nivel_agua_percentagem,88.55,%,2026-05-08 04:00:00,2026-05-08 04:02:00,boa,1
173,29,precipitacao_horaria,0,mm,2026-05-08 04:00:00,2026-05-08 04:00:00,boa,1
174,30,caudal_estimado,71.4,m3/s,2026-05-08 04:00:00,2026-05-08 04:05:00,boa,1
175,31,nivel_agua_percentagem,89.78,%,2026-05-08 04:00:00,2026-05-08 04:03:00,boa,1
176,32,precipitacao_horaria,0,mm,2026-05-08 04:00:00,2026-05-08 04:00:00,boa,1
177,33,caudal_estimado,114.79,m3/s,2026-05-08 04:00:00,2026-05-08 04:02:00,boa,1
178,34,nivel_agua_percentagem,88.32,%,2026-05-08 04:00:00,2026-05-08 04:01:00,boa,1
179,35,precipitacao_horaria,0,mm,2026-05-08 04:00:00,2026-05-08 04:00:00,suspeita,0
180,36,caudal_estimado,68.53,m3/s,2026-05-08 04:00:00,2026-05-08 04:04:00,boa,1
181,1,nivel_agua_percentagem,82.96,%,2026-05-08 05:00:00,2026-05-08 05:03:00,boa,1
182,2,precipitacao_horaria,32.48,mm,2026-05-08 05:00:00,2026-05-08 05:03:00,boa,1
183,3,caudal_estimado,81.04,m3/s,2026-05-08 05:00:00,2026-05-08 05:04:00,suspeita,0
184,4,nivel_agua_percentagem,93.96,%,2026-05-08 05:00:00,2026-05-08 05:00:00,boa,1
185,5,precipitacao_horaria,32.48,mm,2026-05-08 05:00:00,2026-05-08 05:01:00,suspeita,0
186,6,caudal_estimado,76.21,m3/s,2026-05-08 05:00:00,2026-05-08 05:02:00,boa,1
187,7,nivel_agua_percentagem,85.67,%,2026-05-08 05:00:00,2026-05-08 05:05:00,boa,1
188,8,precipitacao_horaria,32.48,mm,2026-05-08 05:00:00,2026-05-08 05:03:00,boa,1
189,9,caudal_estimado,102.92,m3/s,2026-05-08 05:00:00,2026-05-08 05:03:00,suspeita,0
190,10,nivel_agua_percentagem,41.96,%,2026-05-08 05:00:00,2026-05-08 05:01:00,boa,1
191,11,precipitacao_horaria,1.22,mm,2026-05-08 05:00:00,2026-05-08 05:00:00,boa,1
192,12,caudal_estimado,32.75,m3/s,2026-05-08 05:00:00,2026-05-08 05:01:00,suspeita,0
193,13,nivel_agua_percentagem,37.73,%,2026-05-08 05:00:00,2026-05-08 05:03:00,boa,1
194,14,precipitacao_horaria,1.22,mm,2026-05-08 05:00:00,2026-05-08 05:03:00,boa,1
195,15,caudal_estimado,38.7,m3/s,2026-05-08 05:00:00,2026-05-08 05:03:00,suspeita,0
196,16,nivel_agua_percentagem,42.62,%,2026-05-08 05:00:00,2026-05-08 05:04:00,boa,1
197,17,precipitacao_horaria,1.22,mm,2026-05-08 05:00:00,2026-05-08 05:05:00,boa,1
198,18,caudal_estimado,28.78,m3/s,2026-05-08 05:00:00,2026-05-08 05:00:00,boa,1
199,19,nivel_agua_percentagem,75.81,%,2026-05-08 05:00:00,2026-05-08 05:04:00,boa,1
200,20,precipitacao_horaria,2.47,mm,2026-05-08 05:00:00,2026-05-08 05:01:00,boa,1
201,21,caudal_estimado,79.94,m3/s,2026-05-08 05:00:00,2026-05-08 05:00:00,boa,1
202,22,nivel_agua_percentagem,84.93,%,2026-05-08 05:00:00,2026-05-08 05:05:00,suspeita,0
203,23,precipitacao_horaria,2.47,mm,2026-05-08 05:00:00,2026-05-08 05:05:00,boa,1
204,24,caudal_estimado,64.78,m3/s,2026-05-08 05:00:00,2026-05-08 05:05:00,boa,1
205,25,nivel_agua_percentagem,79.96,%,2026-05-08 05:00:00,2026-05-08 05:01:00,boa,1
206,26,precipitacao_horaria,2.47,mm,2026-05-08 05:00:00,2026-05-08 05:03:00,boa,1
207,27,caudal_estimado,80.61,m3/s,2026-05-08 05:00:00,2026-05-08 05:04:00,boa,1
208,28,nivel_agua_percentagem,88.38,%,2026-05-08 05:00:00,2026-05-08 05:03:00,boa,1
209,29,precipitacao_horaria,1.68,mm,2026-05-08 05:00:00,2026-05-08 05:04:00,boa,1
210,30,caudal_estimado,90.96,m3/s,2026-05-08 05:00:00,2026-05-08 05:04:00,boa,1
211,31,nivel_agua_percentagem,95.77,%,2026-05-08 05:00:00,2026-05-08 05:04:00,suspeita,0
212,32,precipitacao_horaria,1.68,mm,2026-05-08 05:00:00,2026-05-08 05:00:00,boa,1
213,33,caudal_estimado,124.18,m3/s,2026-05-08 05:00:00,2026-05-08 05:01:00,boa,1
214,34,nivel_agua_percentagem,88.73,%,2026-05-08 05:00:00,2026-05-08 05:02:00,boa,1
215,35,precipitacao_horaria,1.68,mm,2026-05-08 05:00:00,2026-05-08 05:01:00,boa,1
216,36,caudal_estimado,110.37,m3/s,2026-05-08 05:00:00,2026-05-08 05:04:00,boa,1
217,1,nivel_agua_percentagem,84.93,%,2026-05-08 06:00:00,2026-05-08 06:05:00,suspeita,0
218,2,precipitacao_horaria,2.46,mm,2026-05-08 06:00:00,2026-05-08 06:01:00,boa,1
219,3,caudal_estimado,84.45,m3/s,2026-05-08 06:00:00,2026-05-08 06:03:00,boa,1
220,4,nivel_agua_percentagem,90.44,%,2026-05-08 06:00:00,2026-05-08 06:01:00,boa,1
221,5,precipitacao_horaria,2.46,mm,2026-05-08 06:00:00,2026-05-08 06:04:00,suspeita,0
222,6,caudal_estimado,80.08,m3/s,2026-05-08 06:00:00,2026-05-08 06:02:00,boa,1
223,7,nivel_agua_percentagem,91.66,%,2026-05-08 06:00:00,2026-05-08 06:04:00,suspeita,0
224,8,precipitacao_horaria,2.46,mm,2026-05-08 06:00:00,2026-05-08 06:04:00,boa,1
225,9,caudal_estimado,122.68,m3/s,2026-05-08 06:00:00,2026-05-08 06:05:00,boa,1
226,10,nivel_agua_percentagem,41.46,%,2026-05-08 06:00:00,2026-05-08 06:02:00,suspeita,0
227,11,precipitacao_horaria,4,mm,2026-05-08 06:00:00,2026-05-08 06:00:00,boa,1
228,12,caudal_estimado,44.83,m3/s,2026-05-08 06:00:00,2026-05-08 06:01:00,boa,1
229,13,nivel_agua_percentagem,40.34,%,2026-05-08 06:00:00,2026-05-08 06:04:00,boa,1
230,14,precipitacao_horaria,4,mm,2026-05-08 06:00:00,2026-05-08 06:01:00,boa,1
231,15,caudal_estimado,26.41,m3/s,2026-05-08 06:00:00,2026-05-08 06:03:00,boa,1
232,16,nivel_agua_percentagem,37.35,%,2026-05-08 06:00:00,2026-05-08 06:03:00,boa,1
233,17,precipitacao_horaria,4,mm,2026-05-08 06:00:00,2026-05-08 06:05:00,boa,1
234,18,caudal_estimado,39.17,m3/s,2026-05-08 06:00:00,2026-05-08 06:04:00,boa,1
235,19,nivel_agua_percentagem,42.84,%,2026-05-08 06:00:00,2026-05-08 06:00:00,boa,1
236,20,precipitacao_horaria,0,mm,2026-05-08 06:00:00,2026-05-08 06:05:00,boa,1
237,21,caudal_estimado,43.63,m3/s,2026-05-08 06:00:00,2026-05-08 06:05:00,boa,1
238,22,nivel_agua_percentagem,44.82,%,2026-05-08 06:00:00,2026-05-08 06:02:00,boa,1
239,23,precipitacao_horaria,0,mm,2026-05-08 06:00:00,2026-05-08 06:03:00,boa,1
240,24,caudal_estimado,33.17,m3/s,2026-05-08 06:00:00,2026-05-08 06:05:00,boa,1
241,25,nivel_agua_percentagem,38.57,%,2026-05-08 06:00:00,2026-05-08 06:05:00,boa,1
242,26,precipitacao_horaria,0,mm,2026-05-08 06:00:00,2026-05-08 06:02:00,boa,1
243,27,caudal_estimado,35.3,m3/s,2026-05-08 06:00:00,2026-05-08 06:04:00,boa,1
244,28,nivel_agua_percentagem,58.15,%,2026-05-08 06:00:00,2026-05-08 06:05:00,boa,1
245,29,precipitacao_horaria,3.07,mm,2026-05-08 06:00:00,2026-05-08 06:04:00,boa,1
246,30,caudal_estimado,69.39,m3/s,2026-05-08 06:00:00,2026-05-08 06:00:00,suspeita,0
247,31,nivel_agua_percentagem,55.79,%,2026-05-08 06:00:00,2026-05-08 06:00:00,boa,1
248,32,precipitacao_horaria,3.07,mm,2026-05-08 06:00:00,2026-05-08 06:04:00,boa,1
249,33,caudal_estimado,46.01,m3/s,2026-05-08 06:00:00,2026-05-08 06:00:00,boa,1
250,34,nivel_agua_percentagem,55.46,%,2026-05-08 06:00:00,2026-05-08 06:04:00,boa,1
251,35,precipitacao_horaria,3.07,mm,2026-05-08 06:00:00,2026-05-08 06:01:00,boa,1
252,36,caudal_estimado,52.16,m3/s,2026-05-08 06:00:00,2026-05-08 06:00:00,boa,1
253,1,nivel_agua_percentagem,89.25,%,2026-05-08 07:00:00,2026-05-08 07:04:00,boa,1
254,2,precipitacao_horaria,2.84,mm,2026-05-08 07:00:00,2026-05-08 07:05:00,boa,1
255,3,caudal_estimado,67.8,m3/s,2026-05-08 07:00:00,2026-05-08 07:05:00,boa,1
256,4,nivel_agua_percentagem,93.41,%,2026-05-08 07:00:00,2026-05-08 07:01:00,boa,1
257,5,precipitacao_horaria,2.84,mm,2026-05-08 07:00:00,2026-05-08 07:02:00,boa,1
258,6,caudal_estimado,80.96,m3/s,2026-05-08 07:00:00,2026-05-08 07:04:00,boa,1
259,7,nivel_agua_percentagem,92.98,%,2026-05-08 07:00:00,2026-05-08 07:00:00,boa,1
260,8,precipitacao_horaria,2.84,mm,2026-05-08 07:00:00,2026-05-08 07:04:00,boa,1
261,9,caudal_estimado,120.2,m3/s,2026-05-08 07:00:00,2026-05-08 07:03:00,boa,1
262,10,nivel_agua_percentagem,40.72,%,2026-05-08 07:00:00,2026-05-08 07:00:00,boa,1
263,11,precipitacao_horaria,4.5,mm,2026-05-08 07:00:00,2026-05-08 07:04:00,boa,1
264,12,caudal_estimado,47.08,m3/s,2026-05-08 07:00:00,2026-05-08 07:01:00,boa,1
