idalerta,idplano_acao,estado,responsavel,data_inicio,data_conclusao,observacoes
11,8,pendente,Operador Municipal,,,Ação ainda não iniciada.
12,3,concluido,Operador Municipal,2026-05-08 04:23:00,2026-05-08 05:06:00,
12,5,concluido,Operador Municipal,2026-05-08 04:08:00,2026-05-08 05:58:00,
12,6,em_execucao,Operador Municipal,2026-05-08 04:21:00,,
13,3,concluido,Operador Municipal,2026-05-08 04:09:00,2026-05-08 05:31:00,
13,5,em_execucao,Operador Municipal,2026-05-08 04:29:00,,
13,6,em_execucao,Operador Municipal,2026-05-08 04:11:00,,
14,5,em_execucao,Operador Municipal,2026-05-08 04:23:00,,
14,6,em_execucao,Operador Municipal,2026-05-08 04:20:00,,
14,7,pendente,Operador Municipal,,,Ação ainda não iniciada.
14,8,concluido,Operador Municipal,2026-05-08 04:18:00,2026-05-08 05:32:00,
15,5,concluido,Operador Municipal,2026-05-08 05:10:00,2026-05-08 07:30:00,
15,6,em_execucao,Operador Municipal,2026-05-08 05:21:00,,
15,7,concluido,Operador Municipal,2026-05-08 05:20:00,2026-05-08 08:16:00,
15,8,concluido,Operador Municipal,2026-05-08 05:10:00,2026-05-08 05:57:00,
16,3,concluido,Operador Municipal,2026-05-08 05:06:00,2026-05-08 06:50:00,
16,5,concluido,Operador Municipal,2026-05-08 05:08:00,2026-05-08 06:39:00,
16,6,concluido,Operador Municipal,2026-05-08 05:05:00,2026-05-08 06:38:00,
17,5,concluido,Operador Municipal,2026-05-08 05:06:00,2026-05-08 07:28:00,
17,6,concluido,Operador Municipal,2026-05-08 05:09:00,2026-05-08 06:00:00,
17,7,concluido,Operador Municipal,2026-05-08 05:07:00,2026-05-08 05:56:00,
17,8,em_execucao,Operador Municipal,2026-05-08 05:28:00,,
18,5,concluido,Operador Municipal,2026-05-08 06:12:00,2026-05-08 07:49:00,
18,6,concluido,Operador Municipal,2026-05-08 06:13:00,2026-05-08 08:01:00,
18,7,concluido,Operador Municipal,2026-05-08 06:29:00,2026-05-08 08:52:00,
18,8,em_execucao,Operador Municipal,2026-05-08 06:06:00,,
19,3,em_execucao,Operador Municipal,2026-05-08 06:07:00,,
19,5,em_execucao,Operador Municipal,2026-05-08 06:05:00,,
19,6,em_execucao,Operador Municipal,2026-05-08 06:10:00,,
20,1,pendente,Operador Municipal,,,Ação ainda não iniciada.
20,3,concluido,Operador Municipal,2026-05-08 06:16:00,2026-05-08 09:03:00,
20,4,em_execucao,Operador Municipal,2026-05-08 06:06:00,,
21,1,pendente,Operador Municipal,,,Ação ainda não iniciada.
21,3,concluido,Operador Municipal,2026-05-08 06:23:00,2026-05-08 09:12:00,
21,4,em_execucao,Operador Municipal,2026-05-08 06:08:00,,
22,5,em_execucao,Operador Municipal,2026-05-08 07:14:00,,
22,6,concluido,Operador Municipal,2026-05-08 07:22:00,2026-05-08 10:04:00,
22,7,em_execucao,Operador Municipal,2026-05-08 07:21:00,,
22,8,concluido,Operador Municipal,2026-05-08 07:09:00,2026-05-08 08:13:00,
23,1,em_execucao,Operador Municipal,2026-05-08 07:10:00,,
23,3,pendente,Operador Municipal,,,Ação ainda não iniciada.
23,4,concluido,Operador Municipal,2026-05-08 07:29:00,2026-05-08 08:13:00,
24,1,concluido,Operador Municipal,2026-05-08 07:23:00,2026-05-08 10:08:00,
24,3,pendente,Operador Municipal,,,Ação ainda não iniciada.
24,4,pendente,Operador Municipal,,,Ação ainda não iniciada.
25,3,em_execucao,Operador Municipal,2026-05-08 07:19:00,,
25,5,em_execucao,Operador Municipal,2026-05-08 07:25:00,,
25,6,em_execucao,Operador Municipal,2026-05-08 07:10:00,,
26,5,concluido,Operador Municipal,2026-05-08 08:06:00,2026-05-08 09:28:00,
26,6,em_execucao,Operador Municipal,2026-05-08 08:09:00,,
26,7,concluido,Operador Municipal,2026-05-08 08:09:00,2026-05-08 10:49:00,
26,8,pendente,Operador Municipal,,,Ação ainda não iniciada.
27,1,concluido,Operador Municipal,2026-05-08 08:17:00,2026-05-08 11:13:00,
27,3,concluido,Operador Municipal,2026-05-08 08:28:00,2026-05-08 11:12:00,
27,4,em_execucao,Operador Municipal,2026-05-08 08:20:00,,
28,3,concluido,Operador Municipal,2026-05-08 08:14:00,2026-05-08 10:58:00,
28,5,em_execucao,Operador Municipal,2026-05-08 08:11:00,,
28,6,concluido,Operador Municipal,2026-05-08 08:16:00,2026-05-08 09:06:00,
29,5,em_execucao,Operador Municipal,2026-05-08 09:21:00,,
29,6,em_execucao,Operador Municipal,2026-05-08 09:05:00,,
29,7,em_execucao,Operador Municipal,2026-05-08 09:22:00,,
29,8,concluido,Operador Municipal,2026-05-08 09:16:00,2026-05-08 10:58:00,
30,1,concluido,Operador Municipal,2026-05-08 09:13:00,2026-05-08 10:31:00,
30,3,concluido,Operador Municipal,2026-05-08 09:26:00,2026-05-08 09:56:00,
30,4,pendente,Operador Municipal,,,Ação ainda não iniciada.
31,5,concluido,Operador Municipal,2026-05-08 09:23:00,2026-05-08 10:10:00,
31,6,concluido,Operador Municipal,2026-05-08 09:14:00,2026-05-08 10:00:00,
31,7,em_execucao,Operador Municipal,2026-05-08 09:05:00,,
31,8,concluido,Operador Municipal,2026-05-08 09:26:00,2026-05-08 10:20:00,
32,3,concluido,Operador Municipal,2026-05-08 10:18:00,2026-05-08 11:04:00,
32,5,pendente,Operador Municipal,,,Ação ainda não iniciada.
32,6,concluido,Operador Municipal,2026-05-08 10:30:00,2026-05-08 13:07:00,
33,5,em_execucao,Operador Municipal,2026-05-08 10:07:00,,
33,6,concluido,Operador Municipal,2026-05-08 10:29:00,2026-05-08 11:22:00,
33,7,concluido,Operador Municipal,2026-05-08 10:13:00,2026-05-08 12:07:00,
33,8,concluido,Operador Municipal,2026-05-08 10:05:00,2026-05-08 11:17:00,
34,1,concluido,Operador Municipal,2026-05-08 10:29:00,2026-05-08 13:23:00,
34,2,pendente,Operador Municipal,,,Ação ainda não iniciada.
35,1,concluido,Operador Municipal,2026-05-08 11:27:00,2026-05-08 12:27:00,
35,3,concluido,Operador Municipal,2026-05-08 11:27:00,2026-05-08 12:16:00,
35,4,em_execucao,Operador Municipal,2026-05-08 11:21:00,,
36,3,pendente,Operador Municipal,,,Ação ainda não iniciada.
36,5,concluido,Operador Municipal,2026-05-08 11:29:00,2026-05-08 14:18:00,
36,6,concluido,Operador Municipal,2026-05-08 11:16:00,2026-05-08 12:13:00,
37,5,concluido,Operador Municipal,2026-05-08 11:17:00,2026-05-08 13:35:00,
37,6,pendente,Operador Municipal,,,Ação ainda não iniciada.
37,7,concluido,Operador Municipal,2026-05-08 11:29:00,2026-05-08 12:37:00,
37,8,pendente,Operador Municipal,,,Ação ainda não iniciada.
38,1,pendente,Operador Municipal,,,Ação ainda não iniciada.
38,3,pendente,Operador Municipal,,,Ação ainda não iniciada.
38,4,concluido,Operador Municipal,2026-05-08 12:06:00,2026-05-08 13:07:00,
39,3,pendente,Operador Municipal,,,Ação ainda não iniciada.
39,5,em_execucao,Operador Municipal,2026-05-08 12:14:00,,
39,6,concluido,Operador Municipal,2026-05-08 12:10:00,2026-05-08 13:37:00,
40,5,concluido,Operador Municipal,2026-05-08 12:21:00,2026-05-08 13:07:00,
40,6,concluido,Operador Municipal,2026-05-08 12:22:00,2026-05-08 13:02:00,
40,7,em_execucao,Operador Municipal,2026-05-08 12:20:00,,
40,8,pendente,Operador Municipal,,,Ação ainda não iniciada.
41,3,pendente,Operador Municipal,,,Ação ainda não iniciada.
41,5,pendente,Operador Municipal,,,Ação ainda não iniciada.
41,6,concluido,Operador Municipal,2026-05-08 13:23:00,2026-05-08 16:05:00,
42,5,em_execucao,Operador Municipal,2026-05-08 13:20:00,,
42,6,concluido,Operador Municipal,2026-05-08 13:29:00,2026-05-08 14:27:00,
42,7,em_execucao,Operador Municipal,2026-05-08 13:14:00,,
42,8,em_execucao,Operador Municipal,2026-05-08 13:16:00,,
43,3,concluido,Operador Municipal,2026-05-08 14:13:00,2026-05-08 14:54:00,
43,5,em_execucao,Operador Municipal,2026-05-08 14:28:00,,
43,6,concluido,Operador Municipal,2026-05-08 14:14:00,2026-05-08 14:55:00,
44,5,concluido,Operador Municipal,2026-05-08 14:13:00,2026-05-08 15:30:00,
44,6,concluido,Operador Municipal,2026-05-08 14:23:00,2026-05-08 17:22:00,
44,7,pendente,Operador Municipal,,,Ação ainda não iniciada.
44,8,em_execucao,Operador Municipal,2026-05-08 14:25:00,,
45,3,em_execucao,Operador Municipal,2026-05-08 15:28:00,,
45,5,em_execucao,Operador Municipal,2026-05-08 15:12:00,,
45,6,concluido,Operador Municipal,2026-05-08 15:26:00,2026-05-08 17:37:00,
46,3,concluido,Operador Municipal,2026-05-08 15:19:00,2026-05-08 17:36:00,
46,5,concluido,Operador Municipal,2026-05-08 15:05:00,2026-05-08 17:34:00,
46,6,em_execucao,Operador Municipal,2026-05-08 15:22:00,,
47,3,pendente,Operador Municipal,,,Ação ainda não iniciada.
47,5,em_execucao,Operador Municipal,2026-05-08 15:26:00,,
47,6,concluido,Operador Municipal,2026-05-08 15:17:00,2026-05-08 17:46:00,
48,1,pendente,Operador Municipal,,,Ação ainda não iniciada.
48,3,pendente,Operador Municipal,,,Ação ainda não iniciada.
48,4,concluido,Operador Municipal,2026-05-08 16:11:00,2026-05-08 17:22:00,
49,3,em_execucao,Operador Municipal,2026-05-08 16:17:00,,
49,5,em_execucao,Operador Municipal,2026-05-08 16:29:00,,
49,6,concluido,Operador Municipal,2026-05-08 16:13:00,2026-05-08 19:06:00,
50,1,em_execucao,Operador Municipal,2026-05-08 16:30:00,,
50,3,pendente,Operador Municipal,,,Ação ainda não iniciada.
50,4,pendente,Operador Municipal,,,Ação ainda não iniciada.
51,1,em_execucao,Operador Municipal,2026-05-08 16:21:00,,
51,3,pendente,Operador Municipal,,,Ação ainda não iniciada.
51,4,pendente,Operador Municipal,,,Ação ainda não iniciada.
52,3,em_execucao,Operador Municipal,2026-05-08 17:25:00,,
52,5,em_execucao,Operador Municipal,2026-05-08 17:30:00,,
52,6,pendente,Operador Municipal,,,Ação ainda não iniciada.
53,1,em_execucao,Operador Municipal,2026-05-08 18:18:00,,
53,3,pendente,Operador Municipal,,,Ação ainda não iniciada.
53,4,pendente,Operador Municipal,,,Ação ainda não iniciada.
54,1,pendente,Operador Municipal,,,Ação ainda não iniciada.
54,3,pendente,Operador Municipal,,,Ação ainda não iniciada.
54,4,concluido,Operador Municipal,2026-05-08 18:14:00,2026-05-08 21:09:00,
55,1,em_execucao,Operador Municipal,2026-05-08 19:06:00,,
55,3,concluido,Operador Municipal,2026-05-08 19:27:00,2026-05-08 21:49:00,
55,4,pendente,Operador Municipal,,,Ação ainda não iniciada.
56,1,pendente,Operador Municipal,,,Ação ainda não iniciada.
56,3,em_execucao,Operador Municipal,2026-05-08 19:14:00,,
56,4,pendente,Operador Municipal,,,Ação ainda não iniciada.
57,3,concluido,Operador Municipal,2026-05-08 19:21:00,2026-05-08 22:16:00,
57,5,em_execucao,Operador Municipal,2026-05-08 19:20:00,,
57,6,concluido,Operador Municipal,2026-05-08 19:27:00,2026-05-08 20:04:00,
58,1,pendente,Operador Municipal,,,Ação ainda não iniciada.
58,3,concluido,Operador Municipal,2026-05-08 20:05:00,2026-05-08 21:34:00,
58,4,pendente,Operador Municipal,,,Ação ainda não iniciada.
59,3,em_execucao,Operador Municipal,2026-05-08 20:22:00,,
59,5,pendente,Operador Municipal,,,Ação ainda não iniciada.
59,6,em_execucao,Operador Municipal,2026-05-08 20:07:00,,
60,1,em_execucao,Operador Municipal,2026-05-08 21:22:00,,
60,3,pendente,Operador Municipal,,,Ação ainda não iniciada.
60,4,pendente,Operador Municipal,,,Ação ainda não iniciada.
61,1,concluido,Operador Municipal,2026-05-08 21:18:00,2026-05-08 23:01:00,
61,3,concluido,Operador Municipal,2026-05-08 21:30:00,2026-05-08 23:12:00,
61,4,concluido,Operador Municipal,2026-05-08 21:10:00,2026-05-08 23:41:00,
62,3,pendente,Operador Municipal,,,Ação ainda não iniciada.
62,5,concluido,Operador Municipal,2026-05-08 21:07:00,2026-05-08 23:15:00,
62,6,pendente,Operador Municipal,,,Ação ainda não iniciada.
63,1,concluido,Operador Municipal,2026-05-08 22:16:00,2026-05-09 00:08:00,
63,2,concluido,Operador Municipal,2026-05-08 22:18:00,2026-05-09 00:05:00,
64,1,pendente,Operador Municipal,,,Ação ainda não iniciada.
64,3,concluido,Operador Municipal,2026-05-08 22:25:00,2026-05-08 23:55:00,
64,4,pendente,Operador Municipal,,,Ação ainda não iniciada.
65,3,em_execucao,Operador Municipal,2026-05-08 22:17:00,,
65,5,concluido,Operador Municipal,2026-05-08 22:15:00,2026-05-08 23:29:00,
65,6,concluido,Operador Municipal,2026-05-08 22:14:00,2026-05-08 22:55:00,
66,5,em_execucao,Operador Municipal,2026-05-08 23:12:00,,
66,6,em_execucao,Operador Municipal,2026-05-08 23:30:00,,
66,7,concluido,Operador Municipal,2026-05-08 23:14:00,2026-05-09 00:37:00,
66,8,concluido,Operador Municipal,2026-05-08 23:30:00,2026-05-09 01:02:00,
67,1,pendente,Operador Municipal,,,Ação ainda não iniciada.
67,3,pendente,Operador Municipal,,,Ação ainda não iniciada.
67,4,pendente,Operador Municipal,,,Ação ainda não iniciada.
68,3,em_execucao,Operador Municipal,2026-05-09 00:23:00,,
68,5,em_execucao,Operador Municipal,2026-05-09 00:14:00,,
68,6,concluido,Operador Municipal,2026-05-09 00:30:00,2026-05-09 01:24:00,
69,1,em_execucao,Operador Municipal,2026-05-09 00:11:00,,
69,3,pendente,Operador Municipal,,,Ação ainda não iniciada.
69,4,em_execucao,Operador Municipal,2026-05-09 00:17:00,,
70,1,em_execucao,Operador Municipal,2026-05-09 00:24:00,,
70,3,concluido,Operador Municipal,2026-05-09 00:05:00,2026-05-09 01:42:00,
70,4,concluido,Operador Municipal,2026-05-09 00:24:00,2026-05-09 01:08:00,
71,3,concluido,Operador Municipal,2026-05-09 01:08:00,2026-05-09 03:17:00,
71,5,pendente,Operador Municipal,,,Ação ainda não iniciada.
71,6,em_execucao,Operador Municipal,2026-05-09 01:16:00,,
72,3,em_execucao,Operador Municipal,2026-05-09 02:08:00,,
72,5,concluido,Operador Municipal,2026-05-09 02:16:00,2026-05-09 04:44:00,
72,6,concluido,Operador Municipal,2026-05-09 02:09:00,2026-05-09 04:37:00,
73,1,pendente,Operador Municipal,,,Ação ainda não iniciada.
73,2,pendente,Operador Municipal,,,Ação ainda não iniciada.
74,1,em_execucao,Operador Municipal,2026-05-09 03:14:00,,
74,3,em_execucao,Operador Municipal,2026-05-09 03:09:00,,
74,4,concluido,Operador Municipal,2026-05-09 03:20:00,2026-05-09 04:42:00,
75,1,concluido,Operador Municipal,2026-05-09 03:09:00,2026-05-09 04:04:00,
75,3,pendente,Operador Municipal,,,Ação ainda não iniciada.
75,4,pendente,Operador Municipal,,,Ação ainda não iniciada.
76,3,pendente,Operador Municipal,,,Ação ainda não iniciada.
76,5,em_execucao,Operador Municipal,2026-05-09 03:18:00,,
76,6,em_execucao,Operador Municipal,2026-05-09 03:27:00,,
77,5,em_execucao,Operador Municipal,2026-05-09 04:09:00,,
77,6,pendente,Operador Municipal,,,Ação ainda não iniciada.
77,7,concluido,Operador Municipal,2026-05-09 04:24:00,2026-05-09 06:21:00,
77,8,concluido,Operador Municipal,2026-05-09 04:29:00,2026-05-09 05:46:00,
78,1,pendente,Operador Municipal,,,Ação ainda não iniciada.
78,2,em_execucao,Operador Municipal,2026-05-09 04:05:00,,
79,1,pendente,Operador Municipal,,,Ação ainda não iniciada.
79,3,em_execucao,Operador Municipal,2026-05-09 04:19:00,,
79,4,em_execucao,Operador Municipal,2026-05-09 04:23:00,,
80,3,em_execucao,Operador Municipal,2026-05-09 04:15:00,,
80,5,concluido,Operador Municipal,2026-05-09 04:27:00,2026-05-09 06:49:00,
80,6,concluido,Operador Municipal,2026-05-09 04:07:00,2026-05-09 04:39:00,
81,3,em_execucao,Operador Municipal,2026-05-09 05:10:00,,
81,5,concluido,Operador Municipal,2026-05-09 05:28:00,2026-05-09 07:42:00,
81,6,concluido,Operador Municipal,2026-05-09 05:10:00,2026-05-09 07:36:00,
82,1,concluido,Operador Municipal,2026-05-09 05:21:00,2026-05-09 07:15:00,
82,3,pendente,Operador Municipal,,,Ação ainda não iniciada.
82,4,pendente,Operador Municipal,,,Ação ainda não iniciada.
83,3,concluido,Operador Municipal,2026-05-09 06:17:00,2026-05-09 08:10:00,
83,5,concluido,Operador Municipal,2026-05-09 06:22:00,2026-05-09 07:40:00,
83,6,em_execucao,Operador Municipal,2026-05-09 06:24:00,,
84,1,em_execucao,Operador Municipal,2026-05-09 06:24:00,,
84,2,pendente,Operador Municipal,,,Ação ainda não iniciada.
85,3,concluido,Operador Municipal,2026-05-09 06:21:00,2026-05-09 09:12:00,
85,5,concluido,Operador Municipal,2026-05-09 06:15:00,2026-05-09 07:01:00,
85,6,concluido,Operador Municipal,2026-05-09 06:20:00,2026-05-09 07:13:00,
86,1,em_execucao,Operador Municipal,2026-05-09 06:05:00,,
86,3,em_execucao,Operador Municipal,2026-05-09 06:10:00,,
86,4,pendente,Operador Municipal,,,Ação ainda não iniciada.
87,3,em_execucao,Operador Municipal,2026-05-09 07:20:00,,
87,5,em_execucao,Operador Municipal,2026-05-09 07:18:00,,
87,6,concluido,Operador Municipal,2026-05-09 07:14:00,2026-05-09 07:59:00,
88,1,pendente,Operador Municipal,,,Ação ainda não iniciada.
88,3,concluido,Operador Municipal,2026-05-09 07:13:00,2026-05-09 08:36:00,
88,4,concluido,Operador Municipal,2026-05-09 07:14:00,2026-05-09 09:27:00,
89,1,em_execucao,Operador Municipal,2026-05-09 07:22:00,,
89,3,pendente,Operador Municipal,,,Ação ainda não iniciada.
89,4,pendente,Operador Municipal,,,Ação ainda não iniciada.
90,1,pendente,Operador Municipal,,,Ação ainda não iniciada.
90,3,pendente,Operador Municipal,,,Ação ainda não iniciada.
90,4,concluido,Operador Municipal,2026-05-09 07:20:00,2026-05-09 08:09:00,
91,5,em_execucao,Operador Municipal,2026-05-09 08:17:00,,
91,6,concluido,Operador Municipal,2026-05-09 08:17:00,2026-05-09 09:37:00,
91,7,em_execucao,Operador Municipal,2026-05-09 08:13:00,,
91,8,concluido,Operador Municipal,2026-05-09 08:16:00,2026-05-09 08:48:00,
92,1,concluido,Operador Municipal,2026-05-09 08:10:00,2026-05-09 09:01:00,
92,3,em_execucao,Operador Municipal,2026-05-09 08:12:00,,
92,4,pendente,Operador Municipal,,,Ação ainda não iniciada.
93,5,pendente,Operador Municipal,,,Ação ainda não iniciada.
93,6,concluido,Operador Municipal,2026-05-09 09:15:00,2026-05-09 10:30:00,
93,7,em_execucao,Operador Municipal,2026-05-09 09:23:00,,
93,8,em_execucao,Operador Municipal,2026-05-09 09:21:00,,
94,1,pendente,Operador Municipal,,,Ação ainda não iniciada.
94,3,pendente,Operador Municipal,,,Ação ainda não iniciada.
94,4,pendente,Operador Municipal,,,Ação ainda não iniciada.
95,1,pendente,Operador Municipal,,,Ação ainda não iniciada.
95,3,pendente,Operador Municipal,,,Ação ainda não iniciada.
95,4,concluido,Operador Municipal,2026-05-09 09:14:00,2026-05-09 10:43:00,
96,3,concluido,Operador Municipal,2026-05-09 10:08:00,2026-05-09 13:04:00,
96,5,pendente,Operador Municipal,,,Ação ainda não iniciada.
96,6,concluido,Operador Municipal,2026-05-09 10:15:00,2026-05-09 11:21:00,
97,1,pendente,Operador Municipal,,,Ação ainda não iniciada.
97,3,pendente,Operador Municipal,,,Ação ainda não iniciada.
97,4,em_execucao,Operador Municipal,2026-05-09 10:23:00,,
98,1,pendente,Operador Municipal,,,Ação ainda não iniciada.
98,3,concluido,Operador Municipal,2026-05-09 11:21:00,2026-05-09 12:55:00,
98,4,pendente,Operador Municipal,,,Ação ainda não iniciada.
99,1,pendente,Operador Municipal,,,Ação ainda não iniciada.
99,3,pendente,Operador Municipal,,,Ação ainda não iniciada.
99,4,concluido,Operador Municipal,2026-05-09 11:12:00,2026-05-09 13:25:00,
100,3,concluido,Operador Municipal,2026-05-09 12:11:00,2026-05-09 14:58:00,
100,5,em_execucao,Operador Municipal,2026-05-09 12:07:00,,
100,6,em_execucao,Operador Municipal,2026-05-09 12:10:00,,
101,3,em_execucao,Operador Municipal,2026-05-09 12:28:00,,
101,5,em_execucao,Operador Municipal,2026-05-09 12:20:00,,
101,6,em_execucao,Operador Municipal,2026-05-09 12:21:00,,
102,3,em_execucao,Operador Municipal,2026-05-09 13:07:00,,
102,5,em_execucao,Operador Municipal,2026-05-09 13:28:00,,
102,6,pendente,Operador Municipal,,,Ação ainda não iniciada.
103,1,pendente,Operador Municipal,,,Ação ainda não iniciada.
103,3,concluido,Operador Municipal,2026-05-09 13:20:00,2026-05-09 16:04:00,
103,4,pendente,Operador Municipal,,,Ação ainda não iniciada.
104,1,pendente,Operador Municipal,,,Ação ainda não iniciada.
104,2,pendente,Operador Municipal,,,Ação ainda não iniciada.
105,1,concluido,Operador Municipal,2026-05-09 15:20:00,2026-05-09 17:05:00,
105,3,pendente,Operador Municipal,,,Ação ainda não iniciada.
105,4,pendente,Operador Municipal,,,Ação ainda não iniciada.
106,1,pendente,Operador Municipal,,,Ação ainda não iniciada.
106,3,pendente,Operador Municipal,,,Ação ainda não iniciada.
106,4,em_execucao,Operador Municipal,2026-05-09 15:26:00,,
107,1,em_execucao,Operador Municipal,2026-05-09 16:27:00,,
107,3,em_execucao,Operador Municipal,2026-05-09 16:17:00,,
107,4,em_execucao,Operador Municipal,2026-05-09 16:14:00,,
108,3,concluido,Operador Municipal,2026-05-09 17:20:00,2026-05-09 18:29:00,
108,5,em_execucao,Operador Municipal,2026-05-09 17:18:00,,
108,6,concluido,Operador Municipal,2026-05-09 17:28:00,2026-05-09 19:10:00,
109,3,em_execucao,Operador Municipal,2026-05-09 17:20:00,,
109,5,pendente,Operador Municipal,,,Ação ainda não iniciada.
109,6,concluido,Operador Municipal,2026-05-09 17:16:00,2026-05-09 19:52:00,
110,1,em_execucao,Operador Municipal,2026-05-09 18:29:00,,
110,3,pendente,Operador Municipal,,,Ação ainda não iniciada.
110,4,pendente,Operador Municipal,,,Ação ainda não iniciada.
111,1,pendente,Operador Municipal,,,Ação ainda não iniciada.
111,3,em_execucao,Operador Municipal,2026-05-09 18:08:00,,
111,4,pendente,Operador Municipal,,,Ação ainda não iniciada.
112,3,concluido,Operador Municipal,2026-05-09 18:09:00,2026-05-09 20:36:00,
112,5,concluido,Operador Municipal,2026-05-09 18:09:00,2026-05-09 19:41:00,
112,6,concluido,Operador Municipal,2026-05-09 18:17:00,2026-05-09 20:08:00,
113,5,pendente,Operador Municipal,,,Ação ainda não iniciada.
113,6,em_execucao,Operador Municipal,2026-05-09 19:19:00,,
113,7,em_execucao,Operador Municipal,2026-05-09 19:08:00,,
113,8,em_execucao,Operador Municipal,2026-05-09 19:13:00,,
114,1,pendente,Operador Municipal,,,Ação ainda não iniciada.
114,3,concluido,Operador Municipal,2026-05-09 19:19:00,2026-05-09 22:06:00,
114,4,em_execucao,Operador Municipal,2026-05-09 19:27:00,,
115,1,em_execucao,Operador Municipal,2026-05-09 19:14:00,,
115,3,em_execucao,Operador Municipal,2026-05-09 19:09:00,,
115,4,concluido,Operador Municipal,2026-05-09 19:10:00,2026-05-09 21:13:00,
116,3,em_execucao,Operador Municipal,2026-05-09 20:08:00,,
116,5,pendente,Operador Municipal,,,Ação ainda não iniciada.
116,6,concluido,Operador Municipal,2026-05-09 20:20:00,2026-05-09 21:31:00,
117,1,em_execucao,Operador Municipal,2026-05-09 20:07:00,,
117,3,pendente,Operador Municipal,,,Ação ainda não iniciada.
117,4,pendente,Operador Municipal,,,Ação ainda não iniciada.
118,1,em_execucao,Operador Municipal,2026-05-09 20:13:00,,
118,3,pendente,Operador Municipal,,,Ação ainda não iniciada.
118,4,pendente,Operador Municipal,,,Ação ainda não iniciada.
119,3,em_execucao,Operador Municipal,2026-05-09 21:26:00,,
119,5,pendente,Operador Municipal,,,Ação ainda não iniciada.
119,6,pendente,Operador Municipal,,,Ação ainda não iniciada.
120,3,concluido,Operador Municipal,2026-05-09 21:07:00,2026-05-09 23:18:00,
120,5,em_execucao,Operador Municipal,2026-05-09 21:06:00,,
120,6,concluido,Operador Municipal,2026-05-09 21:21:00,2026-05-09 22:29:00,
121,3,concluido,Operador Municipal,2026-05-09 22:12:00,2026-05-09 23:42:00,
121,5,em_execucao,Operador Municipal,2026-05-09 22:15:00,,
121,6,concluido,Operador Municipal,2026-05-09 22:17:00,2026-05-09 22:47:00,
122,1,pendente,Operador Municipal,,,Ação ainda não iniciada.
122,3,concluido,Operador Municipal,2026-05-09 22:18:00,2026-05-10 00:03:00,
122,4,pendente,Operador Municipal,,,Ação ainda não iniciada.
123,1,em_execucao,Operador Municipal,2026-05-09 22:25:00,,
123,3,pendente,Operador Municipal,,,Ação ainda não iniciada.
123,4,concluido,Operador Municipal,2026-05-09 22:25:00,2026-05-10 01:16:00,
