idprevisao,idarea_risco,fonte,data_emissao,data_inicio_previsao,data_fim_previsao,horizonte_horas,precipitacao_prevista_mm,confianca
142,2,IPMA_simulado,2026-05-09 11:00:00,2026-05-09 11:00:00,2026-05-09 12:00:00,1,4.91,0.655
143,3,IPMA_simulado,2026-05-09 11:00:00,2026-05-09 11:00:00,2026-05-09 12:00:00,1,8.33,0.776
144,4,IPMA_simulado,2026-05-09 11:00:00,2026-05-09 11:00:00,2026-05-09 12:00:00,1,16.54,0.929
145,1,IPMA_simulado,2026-05-09 12:00:00,2026-05-09 12:00:00,2026-05-09 13:00:00,1,16.76,0.702
146,2,IPMA_simulado,2026-05-09 12:00:00,2026-05-09 12:00:00,2026-05-09 13:00:00,1,2.71,0.88
147,3,IPMA_simulado,2026-05-09 12:00:00,2026-05-09 12:00:00,2026-05-09 13:00:00,1,21.82,0.887
148,4,IPMA_simulado,2026-05-09 12:00:00,2026-05-09 12:00:00,2026-05-09 13:00:00,1,0,0.88
149,1,IPMA_simulado,2026-05-09 13:00:00,2026-05-09 13:00:00,2026-05-09 14:00:00,1,8.47,0.762
150,2,IPMA_simulado,2026-05-09 13:00:00,2026-05-09 13:00:00,2026-05-09 14:00:00,1,13.36,0.662
151,3,IPMA_simulado,2026-05-09 13:00:00,2026-05-09 13:00:00,2026-05-09 14:00:00,1,7.38,0.837
152,4,IPMA_simulado,2026-05-09 13:00:00,2026-05-09 13:00:00,2026-05-09 14:00:00,1,8.07,0.834
153,1,IPMA_simulado,2026-05-09 14:00:00,2026-05-09 14:00:00,2026-05-09 15:00:00,1,9.51,0.819
154,2,IPMA_simulado,2026-05-09 14:00:00,2026-05-09 14:00:00,2026-05-09 15:00:00,1,6.95,0.689
155,3,IPMA_simulado,2026-05-09 14:00:00,2026-05-09 14:00:00,2026-05-09 15:00:00,1,8.62,0.808
156,4,IPMA_simulado,2026-05-09 14:00:00,2026-05-09 14:00:00,2026-05-09 15:00:00,1,0,0.76
157,1,IPMA_simulado,2026-05-09 15:00:00,2026-05-09 15:00:00,2026-05-09 16:00:00,1,13.11,0.697
158,2,IPMA_simulado,2026-05-09 15:00:00,2026-05-09 15:00:00,2026-05-09 16:00:00,1,6.85,0.751
159,3,IPMA_simulado,2026-05-09 15:00:00,2026-05-09 15:00:00,2026-05-09 16:00:00,1,17.52,0.754
160,4,IPMA_simulado,2026-05-09 15:00:00,2026-05-09 15:00:00,2026-05-09 16:00:00,1,0,0.65
161,1,IPMA_simulado,2026-05-09 16:00:00,2026-05-09 16:00:00,2026-05-09 17:00:00,1,1.11,0.928
162,2,IPMA_simulado,2026-05-09 16:00:00,2026-05-09 16:00:00,2026-05-09 17:00:00,1,18.46,0.887
163,3,IPMA_simulado,2026-05-09 16:00:00,2026-05-09 16:00:00,2026-05-09 17:00:00,1,0,0.712
164,4,IPMA_simulado,2026-05-09 16:00:00,2026-05-09 16:00:00,2026-05-09 17:00:00,1,0,0.864
165,1,IPMA_simulado,2026-05-09 17:00:00,2026-05-09 17:00:00,2026-05-09 18:00:00,1,4.15,0.726
166,2,IPMA_simulado,2026-05-09 17:00:00,2026-05-09 17:00:00,2026-05-09 18:00:00,1,6.05,0.703
167,3,IPMA_simulado,2026-05-09 17:00:00,2026-05-09 17:00:00,2026-05-09 18:00:00,1,28.74,0.796
168,4,IPMA_simulado,2026-05-09 17:00:00,2026-05-09 17:00:00,2026-05-09 18:00:00,1,25.01,0.873
169,1,IPMA_simulado,2026-05-09 18:00:00,2026-05-09 18:00:00,2026-05-09 19:00:00,1,1.86,0.76
170,2,IPMA_simulado,2026-05-09 18:00:00,2026-05-09 18:00:00,2026-05-09 19:00:00,1,12.43,0.868
171,3,IPMA_simulado,2026-05-09 18:00:00,2026-05-09 18:00:00,2026-05-09 19:00:00,1,12.56,0.919
172,4,IPMA_simulado,2026-05-09 18:00:00,2026-05-09 18:00:00,2026-05-09 19:00:00,1,11.19,0.8
173,1,IPMA_simulado,2026-05-09 19:00:00,2026-05-09 19:00:00,2026-05-09 20:00:00,1,52.87,0.758
174,2,IPMA_simulado,2026-05-09 19:00:00,2026-05-09 19:00:00,2026-05-09 20:00:00,1,3.33,0.875
175,3,IPMA_simulado,2026-05-09 19:00:00,2026-05-09 19:00:00,2026-05-09 20:00:00,1,15.32,0.906
176,4,IPMA_simulado,2026-05-09 19:00:00,2026-05-09 19:00:00,2026-05-09 20:00:00,1,4.39,0.691
177,1,IPMA_simulado,2026-05-09 20:00:00,2026-05-09 20:00:00,2026-05-09 21:00:00,1,9.03,0.815
178,2,IPMA_simulado,2026-05-09 20:00:00,2026-05-09 20:00:00,2026-05-09 21:00:00,1,14.18,0.728
179,3,IPMA_simulado,2026-05-09 20:00:00,2026-05-09 20:00:00,2026-05-09 21:00:00,1,0,0.853
180,4,IPMA_simulado,2026-05-09 20:00:00,2026-05-09 20:00:00,2026-05-09 21:00:00,1,5.08,0.829
181,1,IPMA_simulado,2026-05-09 21:00:00,2026-05-09 21:00:00,2026-05-09 22:00:00,1,4.52,0.859
182,2,IPMA_simulado,2026-05-09 21:00:00,2026-05-09 21:00:00,2026-05-09 22:00:00,1,0,0.888
183,3,IPMA_simulado,2026-05-09 21:00:00,2026-05-09 21:00:00,2026-05-09 22:00:00,1,5.8,0.658
184,4,IPMA_simulado,2026-05-09 21:00:00,2026-05-09 21:00:00,2026-05-09 22:00:00,1,25.51,0.758
185,1,IPMA_simulado,2026-05-09 22:00:00,2026-05-09 22:00:00,2026-05-09 23:00:00,1,0,0.771
186,2,IPMA_simulado,2026-05-09 22:00:00,2026-05-09 22:00:00,2026-05-09 23:00:00,1,17.69,0.717
187,3,IPMA_simulado,2026-05-09 22:00:00,2026-05-09 22:00:00,2026-05-09 23:00:00,1,10.72,0.83
188,4,IPMA_simulado,2026-05-09 22:00:00,2026-05-09 22:00:00,2026-05-09 23:00:00,1,0,0.786
189,1,IPMA_simulado,2026-05-09 23:00:00,2026-05-09 23:00:00,2026-05-10 00:00:00,1,11.78,0.919
190,2,IPMA_simulado,2026-05-09 23:00:00,2026-05-09 23:00:00,2026-05-10 00:00:00,1,0,0.694
191,3,IPMA_simulado,2026-05-09 23:00:00,2026-05-09 23:00:00,2026-05-10 00:00:00,1,6.55,0.877
192,4,IPMA_simulado,2026-05-09 23:00:00,2026-05-09 23:00:00,2026-05-10 00:00:00,1,18.38,0.792
193,1,IPMA_simulado,2026-05-10 00:00:00,2026-05-10 00:00:00,2026-05-10 01:00:00,1,0,0.874
194,2,IPMA_simulado,2026-05-10 00:00:00,2026-05-10 00:00:00,2026-05-10 01:00:00,1,15.35,0.872
195,3,IPMA_simulado,2026-05-10 00:00:00,2026-05-10 00:00:00,2026-05-10 01:00:00,1,5.63,0.864
196,4,IPMA_simulado,2026-05-10 00:00:00,2026-05-10 00:00:00,2026-05-10 01:00:00,1,17.85,0.776
197,1,IPMA_simulado,2026-05-10 01:00:00,2026-05-10 01:00:00,2026-05-10 02:00:00,1,14.03,0.873
198,2,IPMA_simulado,2026-05-10 01:00:00,2026-05-10 01:00:00,2026-05-10 02:00:00,1,0,0.759
199,3,IPMA_simulado,2026-05-10 01:00:00,2026-05-10 01:00:00,2026-05-10 02:00:00,1,15.15,0.895
200,4,IPMA_simulado,2026-05-10 01:00:00,2026-05-10 01:00:00,2026-05-10 02:00:00,1,20.08,0.795
201,1,IPMA_simulado,2026-05-10 02:00:00,2026-05-10 02:00:00,2026-05-10 03:00:00,1,13.1,0.758
202,2,IPMA_simulado,2026-05-10 02:00:00,2026-05-10 02:00:00,2026-05-10 03:00:00,1,0.52,0.83
203,3,IPMA_simulado,2026-05-10 02:00:00,2026-05-10 02:00:00,2026-05-10 03:00:00,1,26.37,0.709
204,4,IPMA_simulado,2026-05-10 02:00:00,2026-05-10 02:00:00,2026-05-10 03:00:00,1,10.86,0.912
205,1,IPMA_simulado,2026-05-10 03:00:00,2026-05-10 03:00:00,2026-05-10 04:00:00,1,14.68,0.767
206,2,IPMA_simulado,2026-05-10 03:00:00,2026-05-10 03:00:00,2026-05-10 04:00:00,1,0,0.926
207,3,IPMA_simulado,2026-05-10 03:00:00,2026-05-10 03:00:00,2026-05-10 04:00:00,1,0.04,0.693
208,4,IPMA_simulado,2026-05-10 03:00:00,2026-05-10 03:00:00,2026-05-10 04:00:00,1,23.06,0.866
209,1,IPMA_simulado,2026-05-10 04:00:00,2026-05-10 04:00:00,2026-05-10 05:00:00,1,15.51,0.801
210,2,IPMA_simulado,2026-05-10 04:00:00,2026-05-10 04:00:00,2026-05-10 05:00:00,1,30.64,0.926
211,3,IPMA_simulado,2026-05-10 04:00:00,2026-05-10 04:00:00,2026-05-10 05:00:00,1,0,0.874
212,4,IPMA_simulado,2026-05-10 04:00:00,2026-05-10 04:00:00,2026-05-10 05:00:00,1,6.94,0.708
213,1,IPMA_simulado,2026-05-10 05:00:00,2026-05-10 05:00:00,2026-05-10 06:00:00,1,0,0.719
214,2,IPMA_simulado,2026-05-10 05:00:00,2026-05-10 05:00:00,2026-05-10 06:00:00,1,11.16,0.804
215,3,IPMA_simulado,2026-05-10 05:00:00,2026-05-10 05:00:00,2026-05-10 06:00:00,1,12.37,0.704
216,4,IPMA_simulado,2026-05-10 05:00:00,2026-05-10 05:00:00,2026-05-10 06:00:00,1,3.32,0.726
217,1,IPMA_simulado,2026-05-10 06:00:00,2026-05-10 06:00:00,2026-05-10 07:00:00,1,3.14,0.937
218,2,IPMA_simulado,2026-05-10 06:00:00,2026-05-10 06:00:00,2026-05-10 07:00:00,1,8.39,0.752
219,3,IPMA_simulado,2026-05-10 06:00:00,2026-05-10 06:00:00,2026-05-10 07:00:00,1,0,0.654
220,4,IPMA_simulado,2026-05-10 06:00:00,2026-05-10 06:00:00,2026-05-10 07:00:00,1,21.88,0.931
221,1,IPMA_simulado,2026-05-10 07:00:00,2026-05-10 07:00:00,2026-05-10 08:00:00,1,47.28,0.733
222,2,IPMA_simulado,2026-05-10 07:00:00,2026-05-10 07:00:00,2026-05-10 08:00:00,1,7.18,0.891
223,3,IPMA_simulado,2026-05-10 07:00:00,2026-05-10 07:00:00,2026-05-10 08:00:00,1,29.34,0.864
224,4,IPMA_simulado,2026-05-10 07:00:00,2026-05-10 07:00:00,2026-05-10 08:00:00,1,0,0.762
225,1,IPMA_simulado,2026-05-10 08:00:00,2026-05-10 08:00:00,2026-05-10 09:00:00,1,5.45,0.748
