idalerta,idnivel_alerta,idarea_risco,idinfraestrutura_urbana,data_alerta,descricao,score_risco,estado
28,3,4,10,2026-05-08 08:00:00,Alerta Laranja na área Zona Industrial. Nível máximo de água: 59.44%. Precipitação acumulada 6h: 36.09 mm. Precipitação prevista 1h: 15.18 mm.,41.37,ativo
29,4,1,2,2026-05-08 09:00:00,Alerta Vermelho na área Zona Ribeirinha. Nível máximo de água: 90.28%. Precipitação acumulada 6h: 65.74 mm. Precipitação prevista 1h: 10.25 mm.,62.91,ativo
30,2,2,6,2026-05-08 09:00:00,Alerta Amarelo na área Passagem Inferior. Nível máximo de água: 53.20%. Precipitação acumulada 6h: 16.29 mm. Precipitação prevista 1h: 13.31 mm.,32.15,registado
31,4,3,9,2026-05-08 09:00:00,Alerta Vermelho na área Centro Urbano. Nível máximo de água: 92.79%. Precipitação acumulada 6h: 76.89 mm. Precipitação prevista 1h: 58.94 mm.,79.56,ativo
32,3,1,1,2026-05-08 10:00:00,Alerta Laranja na área Zona Ribeirinha. Nível máximo de água: 75.43%. Precipitação acumulada 6h: 45.34 mm. Precipitação prevista 1h: 8.64 mm.,49.71,ativo
33,4,3,7,2026-05-08 10:00:00,Alerta Vermelho na área Centro Urbano. Nível máximo de água: 100.00%. Precipitação acumulada 6h: 78.31 mm. Precipitação prevista 1h: 19.03 mm.,73.25,ativo
34,1,4,11,2026-05-08 10:00:00,Alerta Verde na área Zona Industrial. Nível máximo de água: 41.82%. Precipitação acumulada 6h: 16.36 mm. Precipitação prevista 1h: 6.52 mm.,25.36,registado
35,2,1,2,2026-05-08 11:00:00,Alerta Amarelo na área Zona Ribeirinha. Nível máximo de água: 50.60%. Precipitação acumulada 6h: 14.83 mm. Precipitação prevista 1h: 13.41 mm.,30.57,registado
36,3,2,4,2026-05-08 11:00:00,Alerta Laranja na área Passagem Inferior. Nível máximo de água: 79.75%. Precipitação acumulada 6h: 53.28 mm. Precipitação prevista 1h: 32.72 mm.,60.05,ativo
37,4,3,8,2026-05-08 11:00:00,Alerta Vermelho na área Centro Urbano. Nível máximo de água: 98.43%. Precipitação acumulada 6h: 78.63 mm. Precipitação prevista 1h: 0.00 mm.,67.88,ativo
38,2,1,2,2026-05-08 12:00:00,Alerta Amarelo na área Zona Ribeirinha. Nível máximo de água: 62.42%. Precipitação acumulada 6h: 26.54 mm. Precipitação prevista 1h: 20.47 mm.,41.17,registado
39,3,2,6,2026-05-08 12:00:00,Alerta Laranja na área Passagem Inferior. Nível máximo de água: 77.72%. Precipitação acumulada 6h: 52.86 mm. Precipitação prevista 1h: 0.00 mm.,50.83,ativo
40,4,3,8,2026-05-08 12:00:00,Alerta Vermelho na área Centro Urbano. Nível máximo de água: 98.72%. Precipitação acumulada 6h: 80.59 mm. Precipitação prevista 1h: 13.27 mm.,71.74,ativo
41,3,2,5,2026-05-08 13:00:00,Alerta Laranja na área Passagem Inferior. Nível máximo de água: 79.56%. Precipitação acumulada 6h: 50.96 mm. Precipitação prevista 1h: 14.28 mm.,54.66,ativo
42,4,3,7,2026-05-08 13:00:00,Alerta Vermelho na área Centro Urbano. Nível máximo de água: 100.00%. Precipitação acumulada 6h: 80.67 mm. Precipitação prevista 1h: 0.00 mm.,69,ativo
43,3,2,6,2026-05-08 14:00:00,Alerta Laranja na área Passagem Inferior. Nível máximo de água: 79.59%. Precipitação acumulada 6h: 49.37 mm. Precipitação prevista 1h: 15.02 mm.,54.38,ativo
44,4,3,7,2026-05-08 14:00:00,Alerta Vermelho na área Centro Urbano. Nível máximo de água: 98.04%. Precipitação acumulada 6h: 77.78 mm. Precipitação prevista 1h: 8.85 mm.,69.66,ativo
45,3,2,6,2026-05-08 15:00:00,Alerta Laranja na área Passagem Inferior. Nível máximo de água: 76.71%. Precipitação acumulada 6h: 51.37 mm. Precipitação prevista 1h: 0.20 mm.,49.98,ativo
46,3,3,7,2026-05-08 15:00:00,Alerta Laranja na área Centro Urbano. Nível máximo de água: 69.13%. Precipitação acumulada 6h: 40.90 mm. Precipitação prevista 1h: 22.29 mm.,48.95,ativo
47,3,4,10,2026-05-08 15:00:00,Alerta Laranja na área Zona Industrial. Nível máximo de água: 30.76%. Precipitação acumulada 6h: 7.11 mm. Precipitação prevista 1h: 24.11 mm.,22,ativo
48,2,1,3,2026-05-08 16:00:00,Alerta Amarelo na área Zona Ribeirinha. Nível máximo de água: 60.28%. Precipitação acumulada 6h: 28.68 mm. Precipitação prevista 1h: 19.01 mm.,40.48,registado
49,3,2,4,2026-05-08 16:00:00,Alerta Laranja na área Passagem Inferior. Nível máximo de água: 79.99%. Precipitação acumulada 6h: 54.36 mm. Precipitação prevista 1h: 2.35 mm.,52.89,ativo
50,2,3,7,2026-05-08 16:00:00,Alerta Amarelo na área Centro Urbano. Nível máximo de água: 64.30%. Precipitação acumulada 6h: 39.46 mm. Precipitação prevista 1h: 9.11 mm.,43.05,registado
51,2,4,12,2026-05-08 16:00:00,Alerta Amarelo na área Zona Industrial. Nível máximo de água: 34.72%. Precipitação acumulada 6h: 7.85 mm. Precipitação prevista 1h: 19.88 mm.,22.95,registado
52,3,3,8,2026-05-08 17:00:00,Alerta Laranja na área Centro Urbano. Nível máximo de água: 64.17%. Precipitação acumulada 6h: 40.12 mm. Precipitação prevista 1h: 23.64 mm.,46.82,ativo
53,2,2,4,2026-05-08 18:00:00,Alerta Amarelo na área Passagem Inferior. Nível máximo de água: 45.38%. Precipitação acumulada 6h: 14.35 mm. Precipitação prevista 1h: 19.03 mm.,29.48,registado
54,2,3,9,2026-05-08 18:00:00,Alerta Amarelo na área Centro Urbano. Nível máximo de água: 62.24%. Precipitação acumulada 6h: 38.50 mm. Precipitação prevista 1h: 8.43 mm.,41.67,registado
55,2,1,2,2026-05-08 19:00:00,Alerta Amarelo na área Zona Ribeirinha. Nível máximo de água: 52.35%. Precipitação acumulada 6h: 15.30 mm. Precipitação prevista 1h: 14.11 mm.,31.68,registado
56,2,3,9,2026-05-08 19:00:00,Alerta Amarelo na área Centro Urbano. Nível máximo de água: 63.18%. Precipitação acumulada 6h: 37.81 mm. Precipitação prevista 1h: 4.88 mm.,40.99,registado
57,3,4,10,2026-05-08 19:00:00,Alerta Laranja na área Zona Industrial. Nível máximo de água: 47.68%. Precipitação acumulada 6h: 31.76 mm. Precipitação prevista 1h: 32.94 mm.,39.22,ativo
58,2,3,8,2026-05-08 20:00:00,Alerta Amarelo na área Centro Urbano. Nível máximo de água: 60.56%. Precipitação acumulada 6h: 39.63 mm. Precipitação prevista 1h: 8.57 mm.,41.28,registado
59,3,4,12,2026-05-08 20:00:00,Alerta Laranja na área Zona Industrial. Nível máximo de água: 50.08%. Precipitação acumulada 6h: 31.89 mm. Precipitação prevista 1h: 12.70 mm.,35.28,ativo
60,2,1,1,2026-05-08 21:00:00,Alerta Amarelo na área Zona Ribeirinha. Nível máximo de água: 53.53%. Precipitação acumulada 6h: 14.84 mm. Precipitação prevista 1h: 18.02 mm.,33.05,registado
61,2,3,9,2026-05-08 21:00:00,Alerta Amarelo na área Centro Urbano. Nível máximo de água: 46.78%. Precipitação acumulada 6h: 17.24 mm. Precipitação prevista 1h: 19.89 mm.,31.2,registado
62,3,4,12,2026-05-08 21:00:00,Alerta Laranja na área Zona Industrial. Nível máximo de água: 59.70%. Precipitação acumulada 6h: 35.58 mm. Precipitação prevista 1h: 27.27 mm.,44.36,ativo
63,1,1,2,2026-05-08 22:00:00,Alerta Verde na área Zona Ribeirinha. Nível máximo de água: 48.67%. Precipitação acumulada 6h: 9.78 mm. Precipitação prevista 1h: 0.00 mm.,24.84,registado
64,2,2,4,2026-05-08 22:00:00,Alerta Amarelo na área Passagem Inferior. Nível máximo de água: 47.85%. Precipitação acumulada 6h: 13.19 mm. Precipitação prevista 1h: 14.66 mm.,29.15,registado
65,3,4,12,2026-05-08 22:00:00,Alerta Laranja na área Zona Industrial. Nível máximo de água: 53.62%. Precipitação acumulada 6h: 34.70 mm. Precipitação prevista 1h: 10.33 mm.,37.12,ativo
66,4,1,3,2026-05-08 23:00:00,Alerta Vermelho na área Zona Ribeirinha. Nível máximo de água: 69.73%. Precipitação acumulada 6h: 43.30 mm. Precipitação prevista 1h: 40.43 mm.,54.48,ativo
67,2,4,12,2026-05-08 23:00:00,Alerta Amarelo na área Zona Industrial. Nível máximo de água: 56.01%. Precipitação acumulada 6h: 34.18 mm. Precipitação prevista 1h: 9.26 mm.,37.77,registado
68,3,1,1,2026-05-09 00:00:00,Alerta Laranja na área Zona Ribeirinha. Nível máximo de água: 72.32%. Precipitação acumulada 6h: 44.58 mm. Precipitação prevista 1h: 22.42 mm.,51.52,ativo
69,2,3,8,2026-05-09 00:00:00,Alerta Amarelo na área Centro Urbano. Nível máximo de água: 44.64%. Precipitação acumulada 6h: 18.52 mm. Precipitação prevista 1h: 17.24 mm.,29.95,registado
70,2,4,11,2026-05-09 00:00:00,Alerta Amarelo na área Zona Industrial. Nível máximo de água: 51.45%. Precipitação acumulada 6h: 34.26 mm. Precipitação prevista 1h: 0.00 mm.,33.43,registado
71,3,1,3,2026-05-09 01:00:00,Alerta Laranja na área Zona Ribeirinha. Nível máximo de água: 70.11%. Precipitação acumulada 6h: 41.27 mm. Precipitação prevista 1h: 9.21 mm.,46.23,ativo
72,3,1,3,2026-05-09 02:00:00,Alerta Laranja na área Zona Ribeirinha. Nível máximo de água: 76.14%. Precipitação acumulada 6h: 39.44 mm. Precipitação prevista 1h: 0.00 mm.,46.1,ativo
73,1,2,4,2026-05-09 02:00:00,Alerta Verde na área Passagem Inferior. Nível máximo de água: 45.37%. Precipitação acumulada 6h: 10.65 mm. Precipitação prevista 1h: 2.83 mm.,24.32,registado
74,2,1,2,2026-05-09 03:00:00,Alerta Amarelo na área Zona Ribeirinha. Nível máximo de água: 65.27%. Precipitação acumulada 6h: 39.45 mm. Precipitação prevista 1h: 1.39 mm.,41.55,registado
75,2,2,5,2026-05-09 03:00:00,Alerta Amarelo na área Passagem Inferior. Nível máximo de água: 45.48%. Precipitação acumulada 6h: 12.46 mm. Precipitação prevista 1h: 10.31 mm.,26.78,registado
76,3,3,9,2026-05-09 03:00:00,Alerta Laranja na área Centro Urbano. Nível máximo de água: 49.78%. Precipitação acumulada 6h: 17.31 mm. Precipitação prevista 1h: 21.13 mm.,32.88,ativo
77,4,1,3,2026-05-09 04:00:00,Alerta Vermelho na área Zona Ribeirinha. Nível máximo de água: 98.54%. Precipitação acumulada 6h: 82.31 mm. Precipitação prevista 1h: 52.33 mm.,81.43,ativo
78,1,2,5,2026-05-09 04:00:00,Alerta Verde na área Passagem Inferior. Nível máximo de água: 40.08%. Precipitação acumulada 6h: 11.38 mm. Precipitação prevista 1h: 0.00 mm.,21.45,registado
79,2,3,9,2026-05-09 04:00:00,Alerta Amarelo na área Centro Urbano. Nível máximo de água: 46.65%. Precipitação acumulada 6h: 18.49 mm. Precipitação prevista 1h: 16.53 mm.,30.67,registado
80,3,4,12,2026-05-09 04:00:00,Alerta Laranja na área Zona Industrial. Nível máximo de água: 51.63%. Precipitação acumulada 6h: 35.14 mm. Precipitação prevista 1h: 24.80 mm.,39.98,ativo
81,3,1,3,2026-05-09 05:00:00,Alerta Laranja na área Zona Ribeirinha. Nível máximo de água: 84.92%. Precipitação acumulada 6h: 50.17 mm. Precipitação prevista 1h: 15.61 mm.,57.17,ativo
82,2,4,10,2026-05-09 05:00:00,Alerta Amarelo na área Zona Industrial. Nível máximo de água: 55.25%. Precipitação acumulada 6h: 35.77 mm. Precipitação prevista 1h: 0.00 mm.,35.59,registado
83,3,1,3,2026-05-09 06:00:00,Alerta Laranja na área Zona Ribeirinha. Nível máximo de água: 83.54%. Precipitação acumulada 6h: 51.36 mm. Precipitação prevista 1h: 2.54 mm.,53.64,ativo
84,1,2,5,2026-05-09 06:00:00,Alerta Verde na área Passagem Inferior. Nível máximo de água: 45.41%. Precipitação acumulada 6h: 9.53 mm. Precipitação prevista 1h: 7.91 mm.,25.27,registado
85,3,3,9,2026-05-09 06:00:00,Alerta Laranja na área Centro Urbano. Nível máximo de água: 47.84%. Precipitação acumulada 6h: 20.67 mm. Precipitação prevista 1h: 32.56 mm.,35.87,ativo
86,2,4,11,2026-05-09 06:00:00,Alerta Amarelo na área Zona Industrial. Nível máximo de água: 61.76%. Precipitação acumulada 6h: 35.62 mm. Precipitação prevista 1h: 0.39 mm.,38.58,registado
87,3,1,1,2026-05-09 07:00:00,Alerta Laranja na área Zona Ribeirinha. Nível máximo de água: 81.08%. Precipitação acumulada 6h: 51.66 mm. Precipitação prevista 1h: 1.06 mm.,52.25,ativo
88,2,2,6,2026-05-09 07:00:00,Alerta Amarelo na área Passagem Inferior. Nível máximo de água: 43.15%. Precipitação acumulada 6h: 12.05 mm. Precipitação prevista 1h: 18.14 mm.,27.57,registado
89,2,3,9,2026-05-09 07:00:00,Alerta Amarelo na área Centro Urbano. Nível máximo de água: 51.56%. Precipitação acumulada 6h: 23.01 mm. Precipitação prevista 1h: 10.99 mm.,32.85,registado
90,2,4,11,2026-05-09 07:00:00,Alerta Amarelo na área Zona Industrial. Nível máximo de água: 53.44%. Precipitação acumulada 6h: 35.71 mm. Precipitação prevista 1h: 0.00 mm.,34.76,registado
91,4,1,2,2026-05-09 08:00:00,Alerta Vermelho na área Zona Ribeirinha. Nível máximo de água: 96.43%. Precipitação acumulada 6h: 73.96 mm. Precipitação prevista 1h: 21.14 mm.,70.87,ativo
92,2,4,12,2026-05-09 08:00:00,Alerta Amarelo na área Zona Industrial. Nível máximo de água: 52.46%. Precipitação acumulada 6h: 33.21 mm. Precipitação prevista 1h: 0.00 mm.,33.57,registado
93,4,1,1,2026-05-09 09:00:00,Alerta Vermelho na área Zona Ribeirinha. Nível máximo de água: 100.00%. Precipitação acumulada 6h: 75.58 mm. Precipitação prevista 1h: 0.00 mm.,67.67,ativo
94,2,2,6,2026-05-09 09:00:00,Alerta Amarelo na área Passagem Inferior. Nível máximo de água: 44.08%. Precipitação acumulada 6h: 12.87 mm. Precipitação prevista 1h: 12.24 mm.,26.76,registado
95,2,4,10,2026-05-09 09:00:00,Alerta Amarelo na área Zona Industrial. Nível máximo de água: 51.77%. Precipitação acumulada 6h: 31.54 mm. Precipitação prevista 1h: 9.77 mm.,35.2,registado
96,3,1,3,2026-05-09 10:00:00,Alerta Laranja na área Zona Ribeirinha. Nível máximo de água: 67.61%. Precipitação acumulada 6h: 31.79 mm. Precipitação prevista 1h: 15.60 mm.,43.86,ativo
97,2,4,12,2026-05-09 10:00:00,Alerta Amarelo na área Zona Industrial. Nível máximo de água: 44.39%. Precipitação acumulada 6h: 16.16 mm. Precipitação prevista 1h: 10.25 mm.,27.39,registado
98,2,1,1,2026-05-09 11:00:00,Alerta Amarelo na área Zona Ribeirinha. Nível máximo de água: 68.80%. Precipitação acumulada 6h: 35.86 mm. Precipitação prevista 1h: 0.76 mm.,41.91,registado
99,2,4,11,2026-05-09 11:00:00,Alerta Amarelo na área Zona Industrial. Nível máximo de água: 42.25%. Precipitação acumulada 6h: 15.59 mm. Precipitação prevista 1h: 16.54 mm.,27.82,registado
100,3,1,1,2026-05-09 12:00:00,Alerta Laranja na área Zona Ribeirinha. Nível máximo de água: 65.20%. Precipitação acumulada 6h: 32.53 mm. Precipitação prevista 1h: 16.76 mm.,43.29,ativo
101,3,3,9,2026-05-09 12:00:00,Alerta Laranja na área Centro Urbano. Nível máximo de água: 44.80%. Precipitação acumulada 6h: 15.95 mm. Precipitação prevista 1h: 21.82 mm.,30.4,ativo
102,3,1,1,2026-05-09 13:00:00,Alerta Laranja na área Zona Ribeirinha. Nível máximo de água: 71.83%. Precipitação acumulada 6h: 34.85 mm. Precipitação prevista 1h: 8.47 mm.,44.9,ativo
103,2,2,4,2026-05-09 13:00:00,Alerta Amarelo na área Passagem Inferior. Nível máximo de água: 50.59%. Precipitação acumulada 6h: 13.84 mm. Precipitação prevista 1h: 13.36 mm.,30.26,registado
104,1,1,1,2026-05-09 14:00:00,Alerta Verde na área Zona Ribeirinha. Nível máximo de água: 56.03%. Precipitação acumulada 6h: 15.10 mm. Precipitação prevista 1h: 9.51 mm.,32.12,registado
105,2,1,3,2026-05-09 15:00:00,Alerta Amarelo na área Zona Ribeirinha. Nível máximo de água: 50.28%. Precipitação acumulada 6h: 15.31 mm. Precipitação prevista 1h: 13.11 mm.,30.5,registado
106,2,3,9,2026-05-09 15:00:00,Alerta Amarelo na área Centro Urbano. Nível máximo de água: 42.92%. Precipitação acumulada 6h: 16.68 mm. Precipitação prevista 1h: 17.52 mm.,28.7,registado
107,2,2,5,2026-05-09 16:00:00,Alerta Amarelo na área Passagem Inferior. Nível máximo de água: 53.53%. Precipitação acumulada 6h: 15.27 mm. Precipitação prevista 1h: 18.46 mm.,33.28,registado
108,3,3,8,2026-05-09 17:00:00,Alerta Laranja na área Centro Urbano. Nível máximo de água: 55.63%. Precipitação acumulada 6h: 27.36 mm. Precipitação prevista 1h: 28.74 mm.,40.43,ativo
109,3,4,10,2026-05-09 17:00:00,Alerta Laranja na área Zona Industrial. Nível máximo de água: 30.32%. Precipitação acumulada 6h: 6.62 mm. Precipitação prevista 1h: 25.01 mm.,21.88,ativo
110,2,2,6,2026-05-09 18:00:00,Alerta Amarelo na área Passagem Inferior. Nível máximo de água: 52.37%. Precipitação acumulada 6h: 18.33 mm. Precipitação prevista 1h: 12.43 mm.,32.17,registado
111,2,3,9,2026-05-09 18:00:00,Alerta Amarelo na área Centro Urbano. Nível máximo de água: 54.27%. Precipitação acumulada 6h: 25.99 mm. Precipitação prevista 1h: 12.56 mm.,35.36,registado
112,3,4,11,2026-05-09 18:00:00,Alerta Laranja na área Zona Industrial. Nível máximo de água: 52.65%. Precipitação acumulada 6h: 32.07 mm. Precipitação prevista 1h: 11.19 mm.,36.11,ativo
113,4,1,1,2026-05-09 19:00:00,Alerta Vermelho na área Zona Ribeirinha. Nível máximo de água: 71.73%. Precipitação acumulada 6h: 47.18 mm. Precipitação prevista 1h: 52.87 mm.,59.65,ativo
114,2,3,8,2026-05-09 19:00:00,Alerta Amarelo na área Centro Urbano. Nível máximo de água: 54.59%. Precipitação acumulada 6h: 26.85 mm. Precipitação prevista 1h: 15.32 mm.,36.45,registado
115,2,4,10,2026-05-09 19:00:00,Alerta Amarelo na área Zona Industrial. Nível máximo de água: 61.41%. Precipitação acumulada 6h: 32.89 mm. Precipitação prevista 1h: 4.39 mm.,38.6,registado
116,3,1,1,2026-05-09 20:00:00,Alerta Laranja na área Zona Ribeirinha. Nível máximo de água: 82.60%. Precipitação acumulada 6h: 48.62 mm. Precipitação prevista 1h: 9.03 mm.,54.01,ativo
117,2,2,5,2026-05-09 20:00:00,Alerta Amarelo na área Passagem Inferior. Nível máximo de água: 54.61%. Precipitação acumulada 6h: 22.52 mm. Precipitação prevista 1h: 14.18 mm.,34.88,registado
118,2,4,11,2026-05-09 20:00:00,Alerta Amarelo na área Zona Industrial. Nível máximo de água: 52.07%. Precipitação acumulada 6h: 34.44 mm. Precipitação prevista 1h: 5.08 mm.,35.03,registado
119,3,1,2,2026-05-09 21:00:00,Alerta Laranja na área Zona Ribeirinha. Nível máximo de água: 82.46%. Precipitação acumulada 6h: 48.82 mm. Precipitação prevista 1h: 4.52 mm.,52.88,ativo
120,3,4,11,2026-05-09 21:00:00,Alerta Laranja na área Zona Industrial. Nível máximo de água: 59.06%. Precipitação acumulada 6h: 37.20 mm. Precipitação prevista 1h: 25.51 mm.,44.11,ativo
121,3,1,3,2026-05-09 22:00:00,Alerta Laranja na área Zona Ribeirinha. Nível máximo de água: 80.15%. Precipitação acumulada 6h: 53.38 mm. Precipitação prevista 1h: 0.00 mm.,52.08,ativo
122,2,2,4,2026-05-09 22:00:00,Alerta Amarelo na área Passagem Inferior. Nível máximo de água: 60.85%. Precipitação acumulada 6h: 26.96 mm. Precipitação prevista 1h: 17.69 mm.,39.89,registado
123,2,3,7,2026-05-09 22:00:00,Alerta Amarelo na área Centro Urbano. Nível máximo de água: 58.17%. Precipitação acumulada 6h: 24.63 mm. Precipitação prevista 1h: 10.72 mm.,36.25,registado
124,2,4,10,2026-05-09 22:00:00,Alerta Amarelo na área Zona Industrial. Nível máximo de água: 58.41%. Precipitação acumulada 6h: 37.07 mm. Precipitação prevista 1h: 0.00 mm.,37.41,registado
125,3,1,3,2026-05-09 23:00:00,Alerta Laranja na área Zona Ribeirinha. Nível máximo de água: 82.90%. Precipitação acumulada 6h: 55.60 mm. Precipitação prevista 1h: 11.78 mm.,56.93,ativo
126,3,4,11,2026-05-09 23:00:00,Alerta Laranja na área Zona Industrial. Nível máximo de água: 64.60%. Precipitação acumulada 6h: 37.68 mm. Precipitação prevista 1h: 18.38 mm.,44.97,ativo
127,3,1,3,2026-05-10 00:00:00,Alerta Laranja na área Zona Ribeirinha. Nível máximo de água: 84.51%. Precipitação acumulada 6h: 56.62 mm. Precipitação prevista 1h: 0.00 mm.,55.02,ativo
128,2,2,4,2026-05-10 00:00:00,Alerta Amarelo na área Passagem Inferior. Nível máximo de água: 51.82%. Precipitação acumulada 6h: 22.83 mm. Precipitação prevista 1h: 15.35 mm.,34.01,registado
129,2,4,12,2026-05-10 00:00:00,Alerta Amarelo na área Zona Industrial. Nível máximo de água: 42.91%. Precipitação acumulada 6h: 12.33 mm. Precipitação prevista 1h: 17.85 mm.,27.47,registado
130,2,1,3,2026-05-10 01:00:00,Alerta Amarelo na área Zona Ribeirinha. Nível máximo de água: 64.24%. Precipitação acumulada 6h: 26.36 mm. Precipitação prevista 1h: 14.03 mm.,40.32,registado
131,2,3,9,2026-05-10 01:00:00,Alerta Amarelo na área Centro Urbano. Nível máximo de água: 50.31%. Precipitação acumulada 6h: 15.93 mm. Precipitação prevista 1h: 15.15 mm.,31.21,registado
132,2,4,10,2026-05-10 01:00:00,Alerta Amarelo na área Zona Industrial. Nível máximo de água: 36.54%. Precipitação acumulada 6h: 13.55 mm. Precipitação prevista 1h: 20.08 mm.,25.53,registado
